recipe_id,position,change,line,detail,reading
taiwanese-beef-noodle-soup,20,LINE_RESPLIT,Chinese cinnamon stick,"{'qty': '1', 'unit': '', 'label': 'Chinese cinnamon stick'}",rule 2: same shape. Chinese cinnamon is cassia and the stick is still the whole spice
baked-cauliflower-with-red-onions-feta-and-dill-firinda-karnabahar-mucveri,7,LINK_GAINED,"feta cheese or Turkish white cheese, beyaz peynir (drained and crumbled)",- '' (-) -> Q182760 'feta' (form_strip:cheese),
birria-tacos,15,LINK_GAINED,cloves (or 1/4 tsp ground cloves),- '' (-) -> Q15622897 'clove' (plural),
butter-chicken,1,LINK_GAINED,"plain yoghurt, full fat",- '' (-) -> Q13317 'yogurt' (form_strip:plain),
butter-chicken,17,LINK_GAINED,Basmati rice,- '' (-) -> Q1649635 'basmati' (exact),
cauliflower-cheese-steaks,6,LINK_GAINED,ground coriander,- '' (-) -> coriander-powder 'coriander powder' (exact),
chicago-style-italian-beef-pot-roast-sandwich,4,LINK_GAINED,"Garlic, Sliced In Half",- '' (-) -> Q21546392 'garlic' (exact),
chicken-marsala,1,LINK_GAINED,"Crimini Mushrooms, Sliced or Quartered",- '' (-) -> Q654236 'edible mushroom' (form_strip:cremini),
chicken-nachos,1,LINK_GAINED,shredded cheddar or Monterey Jack cheese,- '' (-) -> Q217525 'Cheddar cheese' (form_strip:shredded),
chicken-pepperoni,4,LINK_GAINED,mushrooms,- '' (-) -> Q654236 'edible mushroom' (plural),
chicken-shawarma,3,LINK_GAINED,ground coriander,- '' (-) -> coriander-powder 'coriander powder' (exact),
chicken-shawarma,5,LINK_GAINED,ground cardamon,- '' (-) -> Q14625808 'cardamom' (form_strip:ground),
chicken-tikka-masala,19,LINK_GAINED,ground coriander,- '' (-) -> coriander-powder 'coriander powder' (exact),
chickpea-falafel-patties,6,LINK_GAINED,ground coriander,- '' (-) -> coriander-powder 'coriander powder' (exact),
chickpea-rice-pilaf,1,LINK_GAINED,uncooked basmati rice (or long grain or wild rice),- '' (-) -> Q1649635 'basmati' (form_strip:uncooked),
cinnamon-pancakes,9,LINK_GAINED,"chopped pecans, optional",- '' (-) -> Q1119911 'pecan nut' (form_strip:chopped),
crick-cracks,9,LINK_GAINED,nigella seeds,- '' (-) -> kalonji 'nigella seed' (exact),
dan-dan-noodles,9,LINK_GAINED,sweet bean sauce or hoisin sauce,- '' (-) -> Q1040612 'tianmianjiang' (exact),
fluffy-pancakes-with-regular-yogurt,0,LINK_GAINED,all-purpose flour,- '' (-) -> Q95388739 'all-purpose flour' (exact),
fluffy-pancakes-with-regular-yogurt,1,LINK_GAINED,baking soda,- '' (-) -> baking-soda 'baking soda' (exact),
fluffy-pancakes-with-regular-yogurt,2,LINK_GAINED,baking powder,- '' (-) -> Q29476 'baking powder' (exact),
fluffy-pancakes-with-regular-yogurt,3,LINK_GAINED,salt,- '' (-) -> salt 'salt' (exact),
fluffy-pancakes-with-regular-yogurt,5,LINK_GAINED,eggs,- '' (-) -> egg 'egg' (plural),
fluffy-pancakes-with-regular-yogurt,6,LINK_GAINED,vanilla (optional),- '' (-) -> Q13241 'vanilla' (exact),
fluffy-pancakes-with-regular-yogurt,7,LINK_GAINED,butter (melted),- '' (-) -> Q34172 'butter' (exact),
gai-yang-2,2,LINK_GAINED,"lemongrass, white part only, reedy outer layers removed, sliced 5mm / 1/5"" thick",- '' (-) -> lemongrass 'lemongrass' (exact),
garlic-ginger-chicken-with-cilantro-and-mint,7,LINK_GAINED,ground coriander (freshly ground is best),- '' (-) -> coriander-powder 'coriander powder' (exact),
garlic-ginger-chicken-with-cilantro-and-mint,10,LINK_GAINED,amchur (dry mango powder),- '' (-) -> Q2015681 'amchoor' (exact),
glazed-pumpkin-scones,7,LINK_GAINED,ground cloves,- '' (-) -> Q137255351 'ground cloves' (exact),
glazed-pumpkin-scones,23,LINK_GAINED,ground cloves,- '' (-) -> Q137255351 'ground cloves' (exact),
homemade-pizzas,3,LINK_GAINED,parmesan cheese,- '' (-) -> Q155922 'Parmesan' (form_strip:cheese),
honey-cookies-finikia,10,LINK_GAINED,cloves,- '' (-) -> Q15622897 'clove' (plural),
kale-fennel-and-noodle-soup-rishta,4,LINK_GAINED,"celery, finely chopped",- '' (-) -> Q23012379 'celery' (exact),
karak-chai,6,LINK_GAINED,Cloves,- '' (-) -> Q15622897 'clove' (plural),
khaliat-nahal-honeycomb-bread,13,LINK_GAINED,mozzarella,- '' (-) -> Q14088 'mozzarella cheese' (exact),
khichdi,2,LINK_GAINED,dry (uncooked) basmati rice,- '' (-) -> Q1649635 'basmati' (form_strip:dry),
korean-scallion-pancake,6,LINK_GAINED,"fresh mushroom (white, baby portobello, or shiitake)",- '' (-) -> Q654236 'edible mushroom' (form_strip:fresh),
kuku-paka-african-chicken-curry,10,LINK_GAINED,coriander powder,- '' (-) -> coriander-powder 'coriander powder' (exact),
kuku-paka-african-chicken-curry,19,LINK_GAINED,"Basmati rice or other rice, and/or flatbreads or roti",- '' (-) -> Q1649635 'basmati' (exact),
lotus-root-and-jammy-tomatoes,3,LINK_GAINED,whole cloves,- '' (-) -> Q15622897 'clove' (form_strip:whole),
masa-cakes-with-mushroom-corn-and-cucumber-salad,12,LINK_GAINED,"cremini mushrooms, trimmed and sliced",- '' (-) -> Q654236 'edible mushroom' (form_strip:cremini),
meat-lasagna,4,LINK_GAINED,"celery, very finely diced",- '' (-) -> Q23012379 'celery' (exact),
meat-lasagna,26,LINK_GAINED,fresh lasagna sheets (or 250g/8oz dried),- '' (-) -> lasagna 'lasagna' (form_strip:fresh sheets),
miso-tofu-recipe,0,LINK_GAINED,block extra firm tofu (drained and pressed),- '' (-) -> en:firm-tofu 'firm tofu' (form_strip:extra),
miso-tofu-recipe,2,LINK_GAINED,maple syrup (you can adjust the sweetness to your liking),- '' (-) -> Q402563 'maple syrup' (exact),
miso-tofu-recipe,3,LINK_GAINED,soy sauce (or tamari for a gluten-free option),- '' (-) -> Q229385 'soy sauce' (exact),
miso-tofu-recipe,4,LINK_GAINED,rice vinegar,- '' (-) -> Q1849012 'rice vinegar' (exact),
miso-tofu-recipe,5,LINK_GAINED,sesame oil,- '' (-) -> Q212317 'sesame oil' (exact),
miso-tofu-recipe,6,LINK_GAINED,ginger paste,- '' (-) -> en:ginger-paste 'ginger paste' (exact),
miso-tofu-recipe,7,LINK_GAINED,garlic (minced),- '' (-) -> Q21546392 'garlic' (exact),
miso-tofu-recipe,8,LINK_GAINED,water,- '' (-) -> water 'water' (exact),
nandos-portuguese-chicken-and-rice,16,LINK_GAINED,basmati rice (or long grain rice or medium grain rice),- '' (-) -> Q1649635 'basmati' (exact),
palak-chicken-recipe-dhaba-style-saag-wala-chicken,4,LINK_GAINED,ginger garlic paste,- '' (-) -> ginger-garlic-paste 'ginger garlic paste' (exact),
palak-chicken-recipe-dhaba-style-saag-wala-chicken,25,LINK_GAINED,ginger garlic paste,- '' (-) -> ginger-garlic-paste 'ginger garlic paste' (exact),
palak-chicken-recipe-dhaba-style-saag-wala-chicken,31,LINK_GAINED,coriander powder,- '' (-) -> coriander-powder 'coriander powder' (exact),
palak-chicken-recipe-dhaba-style-saag-wala-chicken,36,LINK_GAINED,asafoetida,- '' (-) -> Q16530385 'asafetida' (exact),
panang-curry,9,LINK_GAINED,"each ground coriander, cumin, nutmeg",- '' (-) -> coriander-powder 'coriander powder' (form_strip:each),
pao-de-queijo-brazilian-cheese-bread,6,LINK_GAINED,Parmesan Cheese,- '' (-) -> Q155922 'Parmesan' (form_strip:cheese),
pasta-with-parsnips-and-bacon,7,LINK_GAINED,grated Parmesan cheese,- '' (-) -> Q155922 'Parmesan' (form_strip:grated cheese),
pastina,11,LINK_GAINED,"of Tuscan Kale, Sliced Thin",- '' (-) -> Q2048275 'Brassica oleracea var. palmifolia' (exact),
pizza-bagels,4,LINK_GAINED,parmesan cheese,- '' (-) -> Q155922 'Parmesan' (form_strip:cheese),
pumpkin-scones,18,LINK_GAINED,ground cloves,- '' (-) -> Q137255351 'ground cloves' (exact),
rigatoni-amatriciana,2,LINK_GAINED,", Pecorino Cheese Grated",- '' (-) -> Q677640 'pecorino' (form_strip:grated cheese),
roasted-cauliflower-with-garlic,6,LINK_GAINED,"parmesan cheese, optional",- '' (-) -> Q155922 'Parmesan' (form_strip:cheese),
salted-brown-butter-pecan-tassies,11,LINK_GAINED,"toasted unsalted pecans, coarsely chopped, divided",- '' (-) -> Q1119911 'pecan nut' (form_strip:toasted unsalted),
shawarma-spice,6,LINK_GAINED,ground coriander,- '' (-) -> coriander-powder 'coriander powder' (exact),
spiced-scallops-with-saffron-beurre-blanc,1,LINK_GAINED,button mushrooms,- '' (-) -> en:button-mushroom 'button mushroom' (plural),
spiced-scallops-with-saffron-beurre-blanc,2,LINK_GAINED,fennel seeds,- '' (-) -> Q27658833 'fennel seeds' (exact),
spiced-scallops-with-saffron-beurre-blanc,3,LINK_GAINED,ground ginger,- '' (-) -> en:ginger-powder 'ground ginger' (exact),
spiced-scallops-with-saffron-beurre-blanc,4,LINK_GAINED,salt,- '' (-) -> salt 'salt' (exact),
spiced-scallops-with-saffron-beurre-blanc,6,LINK_GAINED,saffron strands,- '' (-) -> Q25434 'saffron' (exact),
spiced-scallops-with-saffron-beurre-blanc,7,LINK_GAINED,white wine vinegar,- '' (-) -> Q28416697 'white wine vinegar' (exact),
spiced-scallops-with-saffron-beurre-blanc,8,LINK_GAINED,white wine,- '' (-) -> Q10210 'white wine' (exact),
spiced-scallops-with-saffron-beurre-blanc,9,LINK_GAINED,"shallot, finely diced",- '' (-) -> Q67206407 'shallot' (exact),
spiced-scallops-with-saffron-beurre-blanc,10,LINK_GAINED,black peppercorns,- '' (-) -> Q110495184 'black peppercorns' (exact),
spiced-scallops-with-saffron-beurre-blanc,11,LINK_GAINED,"unsalted butter, cubed",- '' (-) -> Q57312618 'unsalted butter' (exact),
spiced-scallops-with-saffron-beurre-blanc,12,LINK_GAINED,lemon,- '' (-) -> Q1093742 'lemon' (exact),
spiced-scallops-with-saffron-beurre-blanc,14,LINK_GAINED,"scallops, roe removed",- '' (-) -> Q7360490 'scallop' (plural),
spiced-scallops-with-saffron-beurre-blanc,15,LINK_GAINED,extra virgin olive oil,- '' (-) -> Q14789810 'extra virgin olive oil' (exact),
spiced-scallops-with-saffron-beurre-blanc,17,LINK_GAINED,"chives, snipped",- '' (-) -> Q61046162 'chives' (exact),
spicy-edamame,8,LINK_GAINED,Japanese soy sauce,- '' (-) -> Q28837710 'shōyu' (exact),
spinach-and-feta-parcels-fatayer-sabanekh,12,LINK_GAINED,"feta cheese, crumbled",- '' (-) -> Q182760 'feta' (form_strip:cheese),
warm-buttered-hummus,8,LINK_GAINED,ground lamb,- '' (-) -> Q643419 'lamb' (form_strip:ground),
white-bean-stuffed-poblanos,3,LINK_GAINED,ground coriander (freshly ground is best),- '' (-) -> coriander-powder 'coriander powder' (exact),
zanzibar-pilau-rice-pilaf,5,LINK_GAINED,ground cloves,- '' (-) -> Q137255351 'ground cloves' (exact),
acqua-pazza,6,LINK_RETARGETED,"garlic, finely minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
acqua-pazza,17,LINK_RETARGETED,"garlic, halved (for rubbing)",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
adventist-gumbo,3,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
asparagus-with-eggs-and-za-atar-halayone-w-bayd,2,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
avocado-corn-and-tomato-kachumber,5,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
birria-tacos,5,LINK_RETARGETED,"garlic , peeled",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
chicken-chow-fun,18,LINK_RETARGETED,"garlic, chopped",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
chicken-marsala,4,LINK_RETARGETED,"Garlic, Sliced Thin",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
chicken-nachos,10,LINK_RETARGETED,"garlic , minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
chicken-shawarma,2,LINK_RETARGETED,"garlic, minced (or 2 small cloves)",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
chickpea-falafel-patties,1,LINK_RETARGETED,garlic,Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
comforting-spinach-and-chickpeas-sabanekh-bil-hummus,4,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
country-ham-croquettes-with-parsley-salad,4,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
falafel,6,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
garlic-ginger-chicken-with-cilantro-and-mint,1,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
garlic-rice,1,LINK_RETARGETED,"garlic , finely minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
gazan-lentils-with-swiss-chard-and-tahini,4,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
gazan-salad,5,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
green-beans-with-olive-oil-fasolia-bi-zait,2,LINK_RETARGETED,"garlic, finely sliced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
green-chicken-chili-soup,4,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
hummus-with-lemon-and-green-chili-chickpeas-hummus-musabaha,3,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
hummus-with-lemon-and-green-chili-chickpeas-hummus-musabaha,9,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
indian-ribollita,7,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
italian-turkey-fried-meatballs,5,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
jamaican-rice-and-peas-beans,1,LINK_RETARGETED,"garlic, finely minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
kachumber-tilapia,2,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
kale-fennel-and-noodle-soup-rishta,2,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
king-arthur-s-original-cake-pan-cake,2,LINK_RETARGETED,"unsweetened cocoa, Dutch-process or natural*",Q45912917 'cacao' (form_strip:unsweetened) -> Q1062396 'cocoa powder' (form_strip:unsweetened),
kuku-paka-african-chicken-curry,1,LINK_RETARGETED,"chicken thigh , skin-on and bone-in (~250g/8oz each)",en:chicken-thigh-fillet 'chicken thigh fillet' (plural) -> Q102354615 'chicken thigh' (exact),
kuku-paka-african-chicken-curry,8,LINK_RETARGETED,"garlic , finely minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
leek-and-potato-soup,1,LINK_RETARGETED,"garlic , large, finely minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
lemon-and-chili-roast-potatoes-batata-harra,3,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
lemon-cumin-and-green-chili-sea-bass,2,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
lentil-soup-with-walnut-and-cilantro-smash-shorbat-adas,5,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
lentil-soup-with-walnut-and-cilantro-smash-shorbat-adas,14,LINK_RETARGETED,"garlic, roughly chopped",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
lima-bean-and-basil-dip,4,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
lime-chile-and-garlic-dressing,4,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
masa-cakes-with-mushroom-corn-and-cucumber-salad,13,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
meat-lasagna,5,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
nandos-portuguese-chicken-and-rice,13,LINK_RETARGETED,"garlic , finely minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
orange-peel-fish,2,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
panang-curry,8,LINK_RETARGETED,"garlic , finely minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
pasta-alla-norcina,2,LINK_RETARGETED,"Garlic, peeled and crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
pork-stir-fry-with-green-beans,3,LINK_RETARGETED,"garlic, finely chopped",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
prego-rolls-steak-and-piri-piri-sandwiches,3,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
quick-easy-hainanese-chicken-rice-khao-mun-gai,34,LINK_RETARGETED,"garlic, smashed until broken",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
rao-s-meatballs,6,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
red-lentil-and-squash-soup-with-za-atar-croutons,4,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
salsa-verde,4,LINK_RETARGETED,garlic,Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
sausage-kale-and-crouton-saute,3,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
seared-green-beans-with-country-ham-peppers-and-benne-seeds,2,LINK_RETARGETED,"garlic, thinly sliced",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
spiced-filipino-adobo-with-chicken-and-pork,5,LINK_RETARGETED,"garlic, peeled",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
spiced-fish-pilaf-with-caramelized-onions-sayadieh,20,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
spicy-chickpea-dip,3,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
tacos,2,LINK_RETARGETED,"garlic , minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
thai-basil-chicken-2,3,LINK_RETARGETED,"garlic , large, finely chopped",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
three-cup-chicken,2,LINK_RETARGETED,"garlic, smashed",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
tofu-basil-endive-leaves,7,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,0,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
vietnamese-caramelised-pork,3,LINK_RETARGETED,"garlic , minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
white-bean-stuffed-poblanos,7,LINK_RETARGETED,"garlic, minced",Q28966859 'garlic clove' (plural) -> Q21546392 'garlic' (exact),
za-atar-roast-salmon-with-garlicky-bean-mash,0,LINK_RETARGETED,salmon,Q67994034 'salmon fillet' (plural) -> Q2796766 'salmon' (exact),
za-atar-roast-salmon-with-garlicky-bean-mash,4,LINK_RETARGETED,"garlic, crushed",Q28966859 'garlic clove' (exact) -> Q21546392 'garlic' (exact),
chicken-shawarma,15,LINK_RULE_ONLY,Tomato,Q20638126 'tomato' (form_strip:slices) -> Q20638126 'tomato' (exact),
minestrone-soup,1,LINK_RULE_ONLY,"Celery, Diced",Q23012379 'celery' (form_strip:stalks) -> Q23012379 'celery' (exact),
minestrone-soup,11,LINK_RULE_ONLY,Thyme,en:thyme 'thyme' (form_strip:sprigs) -> en:thyme 'thyme' (exact),
pasta-bolognese,3,LINK_RULE_ONLY,"Celery, diced",Q23012379 'celery' (form_strip:stalks) -> Q23012379 'celery' (exact),
pasta-with-lentils,5,LINK_RULE_ONLY,"Celery, Finely Diced",Q23012379 'celery' (form_strip:stalks) -> Q23012379 'celery' (exact),
quick-easy-hainanese-chicken-rice-khao-mun-gai,24,LINK_RULE_ONLY,"cilantro, stems and leaves separated, roughly chopped",Q65523167 'cilantro' (form_strip:sprigs) -> Q65523167 'cilantro' (exact),
red-wine-braised-short-ribs,3,LINK_RULE_ONLY,Celery,Q23012379 'celery' (form_strip:stalks) -> Q23012379 'celery' (exact),
shepherds-pie,11,LINK_RULE_ONLY,Rosemary,Q68315046 'rosemary' (form_strip:sprig) -> Q68315046 'rosemary' (exact),
shepherds-pie,12,LINK_RULE_ONLY,Thyme,en:thyme 'thyme' (form_strip:sprigs) -> en:thyme 'thyme' (exact),
tseke-com-peix-frito-local-spinach-with-curry-sauce-and-crispy-fried-fish,3,LINK_RULE_ONLY,whole mackerel (about,Q8064278 'mackerel' (form_strip:small whole about) -> Q8064278 'mackerel' (form_strip:whole about),
vietnamese-caramel-ginger-chicken,10,LINK_RULE_ONLY,green onion,Q774278 'scallion' (prior decision after prep strip:slices) -> Q774278 'scallion' (prior decision),
wedding-soup,1,LINK_RULE_ONLY,celery,Q23012379 'celery' (form_strip:stalks) -> Q23012379 'celery' (exact),
