recipe_id,position,qty,old_label,old_raw,new_label,new_raw,display_before,display_after
black-pepper-chicken,17,1 tbsp,,Shaoxing wine,Shaoxing wine,1 tablespoon Shaoxing wine,Shaoxing wine,Shaoxing wine
black-pepper-chicken,18,1/2,,"bell pepper (any color, cut into 1-inch/2.5cm pieces)","bell pepper (any color, cut into 1-inch/2.5cm pieces)","1/2 bell pepper (any color, cut into 1-inch/2.5cm pieces)","bell pepper (any color, cut into 1-inch/2.5cm pieces)","bell pepper (any color, cut into 1-inch/2.5cm pieces)"
black-pepper-chicken,19,1 stalk,,celery (thinly sliced on an angle),celery (thinly sliced on an angle),1 stalk celery (thinly sliced on an angle),celery (thinly sliced on an angle),celery (thinly sliced on an angle)
black-pepper-chicken,20,1 tsp,,coarsely ground black pepper,coarsely ground black pepper,1 teaspoon coarsely ground black pepper,coarsely ground black pepper,coarsely ground black pepper
black-pepper-chicken,21,1 1/2 tsp,,cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry),cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry),1 1/2 teaspoons cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry),cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry),cornstarch (mixed with 2 tablespoons water to form a cornstarch slurry)
black-pepper-chicken,22,2 tbsp,,water,water,2 tbsp water,water,water
brioche-cinnamon-rolls,0,125 g,,lukewarm milk (95-104°F),lukewarm milk (95-104°F),125 g lukewarm milk (95-104°F),lukewarm milk (95-104°F),lukewarm milk (95-104°F)
brioche-cinnamon-rolls,1,2 ½ tsp,,instant yeast active dried yeast,instant yeast active dried yeast,2 ½ tsp instant yeast active dried yeast,instant yeast active dried yeast,instant yeast active dried yeast
brioche-cinnamon-rolls,2,50 g,,granulated sugar,granulated sugar,50 g granulated sugar,granulated sugar,granulated sugar
brioche-cinnamon-rolls,3,600 g,,all-purpose flour,all-purpose flour,600 g all-purpose flour,all-purpose flour,all-purpose flour
brioche-cinnamon-rolls,4,5 large,,eggs,eggs,5 large eggs,eggs,eggs
brioche-cinnamon-rolls,5,1 ½ tsp,,salt,salt,1 ½ tsp salt,salt,salt
brioche-cinnamon-rolls,6,230 g,,unsalted butter room temperature and cut into cubes,unsalted butter room temperature and cut into cubes,230 g unsalted butter room temperature and cut into cubes,unsalted butter room temperature and cut into cubes,unsalted butter room temperature and cut into cubes
brioche-cinnamon-rolls,8,75 g,,unsalted butter softened,unsalted butter softened,75 g unsalted butter softened,unsalted butter softened,unsalted butter softened
brioche-cinnamon-rolls,9,100 g,,soft brown sugar,soft brown sugar,100 g soft brown sugar,soft brown sugar,soft brown sugar
brioche-cinnamon-rolls,10,1 tbsp,,ground cinnamon,ground cinnamon,1 Tbsp ground cinnamon,ground cinnamon,ground cinnamon
brioche-cinnamon-rolls,12,60 g,,cream cheese room temperature,cream cheese room temperature,60 g cream cheese room temperature,cream cheese room temperature,cream cheese room temperature
brioche-cinnamon-rolls,13,150 g,,confectioners sugar,confectioners sugar,150 g confectioners sugar,confectioners sugar,confectioners sugar
brioche-cinnamon-rolls,14,2 tbsp,,milk at room temperature,milk at room temperature,2 Tbsp milk at room temperature,milk at room temperature,milk at room temperature
brioche-cinnamon-rolls,15,1/2 tsp,,vanilla extract,vanilla extract,1/2 tsp vanilla extract,vanilla extract,vanilla extract
bulgogi-bowls,0,500 g / 1 lb,,beef mince (ground beef),beef mince (ground beef),500g / 1 lb beef mince (ground beef),beef mince (ground beef),beef mince (ground beef)
bulgogi-bowls,1,1 tbsp,,vegetable oil,vegetable oil,"1 tbsp vegetable oil, + 2 tsp (to wilt baby spinach)",vegetable oil,vegetable oil
bulgogi-bowls,9,1 tbsp,,brown sugar,brown sugar,1 tbsp brown sugar,brown sugar,brown sugar
bulgogi-bowls,10,⅛ tsp,,black pepper,black pepper,1/8 tsp black pepper,black pepper,black pepper
bulgogi-bowls,14,2 tsp,,brown sugar,brown sugar,2 tsp brown sugar,brown sugar,brown sugar
bulgogi-bowls,17,,,white rice,white rice,"white rice (medium or short grain, if you can)",white rice,white rice
cauliflower-soup,0,3 tablespoons,,olive oil,olive oil,3 tablespoons olive oil,olive oil,olive oil
cauliflower-soup,4,5½ cups,,hot water,hot water,5½ cups (1.3L) hot water,hot water,hot water
chicago-style-italian-beef-pot-roast-sandwich,1,4-5 lb,,Bottom Round of Beef,Bottom Round of Beef,4-5 pound Bottom Round of Beef,Bottom Round of Beef,Bottom Round of Beef
chicago-style-italian-beef-pot-roast-sandwich,2,3/4 cup,,Italian Spice Mix,Italian Spice Mix,3/4 cup Italian Spice Mix,Italian Spice Mix,Italian Spice Mix
chicago-style-italian-beef-pot-roast-sandwich,3,8 cups,,of Good Homemade Beef Stock (or high quality store bought),of Good Homemade Beef Stock (or high quality store bought),8 cups of Good Homemade Beef Stock (or high quality store bought),of Good Homemade Beef Stock (or high quality store bought),of Good Homemade Beef Stock (or high quality store bought)
chicago-style-italian-beef-pot-roast-sandwich,4,1,,"Garlic Head, Sliced In Half","Garlic Head, Sliced In Half","1 Garlic Head, Sliced In Half","Garlic Head, Sliced In Half","Garlic Head, Sliced In Half"
chicago-style-italian-beef-pot-roast-sandwich,9,1.5 tbsp,,Fennel Seeds,Fennel Seeds,1.5 Tbsp Fennel Seeds,Fennel Seeds,Fennel Seeds
chicago-style-italian-beef-pot-roast-sandwich,10,2 tsp,,Coriander Seeds,Coriander Seeds,2 tsp Coriander Seeds,Coriander Seeds,Coriander Seeds
chicago-style-italian-beef-pot-roast-sandwich,11,2 tbsp,,Sweet Paprika,Sweet Paprika,2 Tbsp Sweet Paprika,Sweet Paprika,Sweet Paprika
chicago-style-italian-beef-pot-roast-sandwich,12,2.5 tbsp,,Dried Oregano,Dried Oregano,2.5 Tbsp Dried Oregano,Dried Oregano,Dried Oregano
chicago-style-italian-beef-pot-roast-sandwich,13,2.5 tbsp,,Dried Basil,Dried Basil,2.5 Tbsp Dried Basil,Dried Basil,Dried Basil
chicago-style-italian-beef-pot-roast-sandwich,14,2.5 tbsp,,Dried Thyme,Dried Thyme,2.5 Tbsp Dried Thyme,Dried Thyme,Dried Thyme
chicago-style-italian-beef-pot-roast-sandwich,15,1.5 tbsp,,Red Chili Flake,Red Chili Flake,1.5 Tbsp Red Chili Flake,Red Chili Flake,Red Chili Flake
chicago-style-italian-beef-pot-roast-sandwich,16,1.5 tbsp,,Black Peppercorns,Black Peppercorns,1.5 Tbsp Black Peppercorns,Black Peppercorns,Black Peppercorns
cinnamon-scones,1,281 g,,all-purpose flour,all-purpose flour,281 g all-purpose flour,all-purpose flour,all-purpose flour
cinnamon-scones,2,3 tsp,,baking powder,baking powder,3 teaspoons baking powder,baking powder,baking powder
cinnamon-scones,3,¼ tsp,,salt*,salt*,¼ teaspoon salt*,salt*,salt*
cinnamon-scones,4,1 ½ tsp,,cinnamon,cinnamon,1 ½ teaspoons cinnamon,cinnamon,cinnamon
cinnamon-scones,5,113 g,,butter (cold),butter (cold),113 g butter (cold),butter (cold),butter (cold)
cinnamon-scones,6,2,,eggs (cold),eggs (cold),2 eggs (cold),eggs (cold),eggs (cold)
cinnamon-scones,7,121 g,,cream (cold),cream (cold),121 g cream (cold),cream (cold),cream (cold)
cinnamon-scones,8,55 g,,brown sugar (lightly packed),brown sugar (lightly packed),55 g brown sugar (lightly packed),brown sugar (lightly packed),brown sugar (lightly packed)
cinnamon-scones,9,½ tsp,,vanilla,vanilla,½ teaspoon vanilla,vanilla,vanilla
cinnamon-scones,11,60 g,,powdered / icing sugar,powdered / icing sugar,60 g powdered / icing sugar,powdered / icing sugar,powdered / icing sugar
cinnamon-scones,12,½ tsp,,vanilla,vanilla,½ teaspoon vanilla,vanilla,vanilla
cinnamon-scones,13,2 tbsp,,maple syrup,maple syrup,2 tablespoons maple syrup,maple syrup,maple syrup
cinnamon-scones,14,½ tbsp,,cream,cream,½ tablespoon cream,cream,cream
coconut-curried-golden-lentils,1,4 cups,,water,water,4 cups water,water,water
coconut-curried-golden-lentils,2,1 1/2 cups,,golden (yellow) lentils (rinsed and drained // or sub red with similar cook time or green with longer cooking time),golden (yellow) lentils (rinsed and drained // or sub red with similar cook time or green with longer cooking time),1 1/2 cups golden (yellow) lentils (rinsed and drained // or sub red with similar cook time or green with longer cooking time),golden (yellow) lentils (rinsed and drained // or sub red with similar cook time or green with longer cooking time),golden (yellow) lentils (rinsed and drained // or sub red with similar cook time or green with longer cooking time)
coconut-curried-golden-lentils,4,1 Tbsp,,coconut oil (or water),coconut oil (or water),1 Tbsp coconut oil (or water),coconut oil (or water),coconut oil (or water)
coconut-curried-golden-lentils,7,2-3 Tbsp,,fresh minced ginger,fresh minced ginger,2-3 Tbsp fresh minced ginger,fresh minced ginger,fresh minced ginger
coconut-curried-golden-lentils,8,3/4 tsp,,sea salt,sea salt,3/4 tsp sea salt,sea salt,sea salt
coconut-curried-golden-lentils,9,1,,heaping Tbsp curry powder,heaping Tbsp curry powder,1 heaping Tbsp curry powder,heaping Tbsp curry powder,heaping Tbsp curry powder
coconut-curried-golden-lentils,10,1 tsp,,ground turmeric,ground turmeric,1 tsp ground turmeric,ground turmeric,ground turmeric
coconut-curried-golden-lentils,11,1/4 tsp,,cayenne pepper,cayenne pepper,1/4 tsp cayenne pepper,cayenne pepper,cayenne pepper
coconut-curried-golden-lentils,12,1 1/4 – 1 1/2 cups,,coconut milk,coconut milk,1 1/4 – 1 1/2 cups coconut milk,coconut milk,coconut milk
coconut-curried-golden-lentils,13,1-2 Tbsp,,coconut sugar or maple syrup,coconut sugar or maple syrup,1-2 Tbsp coconut sugar or maple syrup,coconut sugar or maple syrup,coconut sugar or maple syrup
coconut-curried-golden-lentils,14,2 Tbsp,,fresh lemon juice,fresh lemon juice,2 Tbsp fresh lemon juice,fresh lemon juice,fresh lemon juice
gai-yang,9,1 tbsp,,sugar,sugar,1 Tbsp sugar,sugar,sugar
gai-yang,10,½ cup,,water,water,½ cup water,water,water
gai-yang,11,2 tbsp,,neutral oil,neutral oil,2 Tbsp neutral oil,neutral oil,neutral oil
gai-yang,17,to taste,,chili flakes,chili flakes,"Chili flakes, to taste",chili flakes,chili flakes
gai-yang,21,1 tbsp,,toasted rice powder,toasted rice powder,1 Tbsp toasted rice powder,toasted rice powder,toasted rice powder
hummus,0,1¼ cups,,dried chickpeas,dried chickpeas,1¼ cups/250g dried chickpeas,dried chickpeas,dried chickpeas
hummus,1,1 tsp,,baking soda,baking soda,1 teaspoon baking soda,baking soda,baking soda
hummus,3,6 tbsp,,"lemon juice, or to taste","lemon juice, or to taste","6 tablespoons/90ml lemon juice, or to taste","lemon juice, or to taste","lemon juice, or to taste"
hummus,4,¾ cup,,tahini,tahini,¾ cup/180g tahini,tahini,tahini
hummus,5,½ tsp,,ground cumin sea salt,ground cumin sea salt,½ teaspoon ground cumin sea salt,ground cumin sea salt,ground cumin sea salt
hummus,6,4,,ice cubes,ice cubes,4 ice cubes,ice cubes,ice cubes
hummus,9,pinch,,"za'atar, paprika or ground cumin","za'atar, paprika or ground cumin","pinch of za'atar, paprika or ground cumin","za'atar, paprika or ground cumin","za'atar, paprika or ground cumin"
mejadra,0,2 tbsp,,olive oil,olive oil,2 tbsp olive oil,olive oil,olive oil
mejadra,1,2 tsp,,cumin seeds (or 1 tsp ground cumin),cumin seeds (or 1 tsp ground cumin),2 tsp cumin seeds (or 1 tsp ground cumin),cumin seeds (or 1 tsp ground cumin),cumin seeds (or 1 tsp ground cumin)
mejadra,2,1 1/2 tbsp,,coriander seeds (or 1 1/2 tsp ground coriander),coriander seeds (or 1 1/2 tsp ground coriander),1 1/2 tbsp coriander seeds (or 1 1/2 tsp ground coriander),coriander seeds (or 1 1/2 tsp ground coriander),coriander seeds (or 1 1/2 tsp ground coriander)
mejadra,3,1 cup,,basmati or long grain rice,basmati or long grain rice,1 cup basmati or long grain rice,basmati or long grain rice,basmati or long grain rice
mejadra,4,1 1/4 cup,,water,water,1 1/4 cup / 315 ml water,water,water
mejadra,5,400 g,,"canned brown lentils, drained (1 can), drained","canned brown lentils, drained (1 can), drained","400g / 14 oz canned brown lentils, drained (1 can), drained","canned brown lentils, drained (1 can), drained","canned brown lentils, drained (1 can), drained"
mejadra,6,1/2 tsp,,ground turmeric,ground turmeric,1/2 tsp ground turmeric,ground turmeric,ground turmeric
mejadra,7,1 1/2 tsp,,ground cinnamon,ground cinnamon,1 1/2 tsp ground cinnamon,ground cinnamon,ground cinnamon
mejadra,8,1 tsp,,sugar,sugar,1 tsp sugar,sugar,sugar
mejadra,13,1 cup,,vegetable or sunflower oil,vegetable or sunflower oil,1 cup / 250 ml vegetable or sunflower oil,vegetable or sunflower oil,vegetable or sunflower oil
