# hand_aliases.csv - the names a catalog row also answers to. Andy's reviewed decisions.
#
# ⚠️ THE ONLY WRITER into library_aliases, the same contract as hand_links.csv into
#    library_relations and hand_substitutions.csv into library_substitutions. An alias stored
#    only in the database is orphaned by the next load with nothing in the build to notice it.
#
# ⚠️ AN ALIAS ADDS A NAME TO AN EXISTING ROW. It never renames a canonical and never merges two
#    rows. A merge destroys an id, and mined_dish_ingredient and mined_pairings hold catalog ids,
#    so a merge orphans mined data that an alias leaves untouched. Merges are refused.
#
# ⚠️ THE ROWS HERE ARE REVIEWED, NOT HARVESTED. Class B's top 150 was ranked by corpus impact and
#    read one row at a time. 24 were refused and 10 sent for their own row. Bulk-loading the class
#    would have written 'whipping cream' onto the creme fraiche row, 22,004 recipes wrong.
#    See previews/alias-b-review.md and previews/alias-b-ranked.md.
#
# source     where the name came from: wikidata | off | authored | read
# confidence authored | read | high | picked
# note       Andy's comment from the review, verbatim, where he left one
library_id,alias,canonical_at_load,source,confidence,note,source_slug
Q1063736,mostaccioli,penne,wikidata,high,,
Q14088,mozzarella,mozzarella cheese,wikidata,high,Class A review 2026-09-16,
Q1275508,muscat wine,muscatel,wikidata,high,,
Q654236,mushroom,edible mushroom,wikidata,high,Class A review 2026-09-16,
Q5279593,nagaimo,Dioscorea polystachya,wikidata,high,,
Q1208221,oat flakes,rolled oats,wikidata,high,,
Q2089240,oat meal,oatmeal,wikidata,high,,
Q219059,OJ,orange juice,wikidata,high,,
Q4287,oleo,margarine,wikidata,high,,
Q4287,oleomargarine,margarine,wikidata,high,,
Q93780992,onion dip,kiwi onion dip,wikidata,high,Class A review 2026-09-16,
Q1939771,orgeat,orgeat syrup,wikidata,high,Class A review 2026-09-16,
bok-choy,pak choi,bok choy,off,high,"Andy: map to new bok choy. Retargeted 2026-09-15 away from Chinese cabbage (napa), a different vegetable. The seed buckets carry the name but variations do not ship to library_names, so the alias is what makes it reachable.",
Q1114674,passata,tomato purée,wikidata,high,what are you purposing,
Q2224510,passion fruit,passionfruit,wikidata,high,,
Q1119911,pecan,pecan nut,wikidata,high,Class A review 2026-09-16,
Q57998504,pepper paste,sweet pepper paste,wikidata,high,Class A review 2026-09-16,
Q16861000,pepperoncini,friggitello,wikidata,high,,
Q20007,perciatelli,bucatini,wikidata,high,,
Q512580,peri-peri,piri piri,wikidata,high,,
Q1494260,pickled ginger,gari,wikidata,high,,
Q212933,pignoli,pine nut,wikidata,high,,
Q7605615,pinhead oats,steel-cut oats,wikidata,high,,
Q83822687,Pinkerton,Pinkerton avocado,wikidata,high,Class A review 2026-09-16,
Q14959225,pistachio,pistachio nut,wikidata,high,Class A review 2026-09-16,
Q16681672,plum vinegar,umezu,wikidata,high,,
Q829720,Polish sausage,kielbasa,wikidata,high,,
Q115626192,porridge,oatmeal porridge,wikidata,high,Class A review 2026-09-16,
Q2623066,pumpkin spice,pumpkin pie spice,wikidata,high,Class A review 2026-09-16,
Q60823349,puttanesca,sugo alla puttanesca,wikidata,high,Class A review 2026-09-16,
Q104030862,quinoa,quinoa seed,wikidata,high,Class A review 2026-09-16,
Q12901724,raclette,Raclette du Valais,wikidata,high,Class A review 2026-09-16,
Q1136833,radiatore,radiatori,wikidata,high,,
Q3094709,rice paper wrappers,Bánh tráng,wikidata,high,,
Q3485298,rice syrup,brown rice syrup,wikidata,high,Class A review 2026-09-16,
Q1317552,risoni,orzo,wikidata,high,,
Q2171841,rocket,rucola,wikidata,high,,
Q1775431,Romanesco,Romanesco broccoli,wikidata,high,Class A review 2026-09-16,
Q189221,Roquefort,Roquefort cheese,wikidata,high,Class A review 2026-09-16,
Q170219,saki,sake,wikidata,high,,
Q177564,salsa fresca,pico de gallo,wikidata,high,,
Q1411808,sheep cheese,sheep milk cheese,wikidata,high,Class A review 2026-09-16,
Q192199,soymilk,soy milk,wikidata,high,,
Q158767,spelt,Triticum spelta,wikidata,high,,
Q181560,star fruit,carambola,wikidata,high,,
Q16131953,sumaq,sumac,wikidata,high,,
Q1040612,sweet bean sauce,tianmianjiang,wikidata,high,,
Q383389,tahina,tahini,wikidata,high,,
Q3514675,tamari,tamari shoyu,wikidata,high,Class A review 2026-09-16,
Q2391283,tamarind,Tamarindus indica,wikidata,high,,
Q227997,taro,Colocasia esculenta,wikidata,high,,
Q2048275,Tuscan kale,Brassica oleracea var. palmifolia,wikidata,high,,
Q16681672,ume vinegar,umezu,wikidata,high,,
Q16681672,umeboshi vinegar,umezu,wikidata,high,,
Q11004,veggie,vegetable,wikidata,high,,
Q18456374,Vietnamese fish sauce,nước mắm,wikidata,high,,
Q14789810,XVOO,extra virgin olive oil,wikidata,high,,
Q13317,yoghurt,yogurt,wikidata,high,,
Q43304555,yuca,cassava root,wikidata,high,,
Q103772657,yuzu,yuzufruit,wikidata,high,,
Q148306,zaatar,za'atar,wikidata,high,,
Q148306,zatar,za'atar,wikidata,high,,
Q25618328,corn,maize,wikidata,high,"Parent pass tier 0 2026-09-16. Cooks write corn bare 4,968 times across the corpus and maize is the Wikidata label.",
Q165199,chili,chili pepper,wikidata,high,"Parent pass tier 0 2026-09-16. linkage_matcher.fold() already routes chili to chili pepper and says the catalog has no bare chili row. This tells the catalog.",
Q5726634,paste,food paste,wikidata,high,"Parent pass tier 0 2026-09-16. The general paste row, which already parents pepper paste.",
Q636056,puree,purée,wikidata,high,"Parent pass tier 0 2026-09-16. The unaccented spelling.",
Q215210,fibre,dietary fiber,wikidata,high,"Parent pass tier 0 2026-09-16. The British spelling. fiber is already on this row from the Class A pass.",
Q542042,duck meat,duck,wikidata,high,"Parent pass tier 0 2026-09-16. The demoted canonical. Wikidata's label, kept so a line saying duck meat still reaches the row. 60 corpus recipes against 3,401 for duck.",
Q7268510,quail meat,quail,wikidata,high,"Parent pass tier 0 2026-09-16. The demoted canonical. 0 corpus recipes against 777 for quail.",
Q18087876,poultry meat,poultry,wikidata,high,"Parent pass tier 0 2026-09-16. The demoted canonical. 2 corpus recipes against 6,371 for poultry.",
Q476864,Nephelium lappaceum,rambutan,wikidata,high,"Parent pass tier 0 2026-09-16. The demoted binomial. 0 corpus recipes against 22 for rambutan.",
Q107246457,capon,capon meat,authored,authored,"Parent pass tier 0 2026-09-16. ⚠️ AUTHORED, not source-stated. No source in any language carries the bare word, so apply_renames refused the rename and this alias is the sanctioned way in. Andy's call, following the turkey precedent. 87 corpus recipes say capon against 1 for capon meat.",
Q643419,lamb meat,lamb,wikidata,high,"Rename pass 2026-09-16. The demoted canonical, kept so a line saying 'lamb meat' still reaches the row.",
Q4200953,turkey meat,turkey,wikidata,high,"Rename pass 2026-09-16. The demoted canonical, kept so a line saying 'turkey meat' still reaches the row.",
Q3556748,rabbit meat,rabbit,wikidata,high,"Rename pass 2026-09-16. The demoted canonical, kept so a line saying 'rabbit meat' still reaches the row.",
Q123122627,sheep meat,sheep,wikidata,high,"Rename pass 2026-09-16. The demoted canonical, kept so a line saying 'sheep meat' still reaches the row.",
Q58173066,bison meat,bison,wikidata,high,"Rename pass 2026-09-16. The demoted canonical, kept so a line saying 'bison meat' still reaches the row.",
stir-fry-brown-sauce,brown sauce,stir-fry brown sauce,authored,authored,"The bare name American recipe writing uses. load_aliases refuses an alias colliding with another row's canonical, so this loads only once Q3474130 and Q17355541 are renamed.",
Q1062396,cocoa,cocoa powder,wikidata,high,"Wikidata lists cocoa, cacao and cocoa solids as aliases of this row. 49,560 corpus lines say cocoa or a form of it and mean the baking powder, against 7,336 that say cocoa powder. The name was freed by renaming the material node to cacao.",
en:fenugreek-seed,methi seeds,fenugreek seed,read,read,274 india lines. The dataset's own gloss names the target.,
fenugreek,methi,fenugreek,read,read,the bare Hindi name.,
Q184357,badam,almond,read,read,201 india lines.,
Q1147190,hung curd,Greek yogurt,read,read,"144 india lines. Strained curd, which is what Greek yogurt is.",
en:dried-fenugreek-leaf,kasuri methi,dried fenugreek leaf,read,read,131 india lines.,
en:fenugreek-leaf,methi leaves,fenugreek leaf,read,read,97 india lines.,
Q21156930,kabuli chana,chickpea,read,read,77 india lines. The white chickpea.,
Q18175531,rajma,kidney bean,read,read,55 india lines.,
Q21156930,kala chana,chickpea,read,read,"48 india lines. The brown chickpea, same species.",
Q33669098,mooli,radish,read,read,44 india lines across mooli and mullangi.,
Q33669098,mullangi,radish,read,read,the Tamil name for the same root.,
Q104037539,bajra flour,pearl millet,read,read,31 india lines.,
Q7992569,phool makhana,lotus seed,read,read,15 india lines.,
Q20027,semiya,vermicelli,read,read,15 india lines.,
Q57271339,rajgira flour,amaranth flour,read,read,10 india lines.,
Q61672189,avarekai,broad bean,read,read,9 india lines.,
Q80008054,mooli ke patte,radish green,read,read,7 india lines.,
Q2771241,lahsun ki chutney,garlic chutney,read,read,6 india lines.,
Q16641308,mor milagai,green chili,read,read,2 india lines.,
Q12533094,brinjal,eggplant,read,read,105 india lines. 'aubergine' is already an alias on the same row.,
Q12533094,eggsplant,eggplant,read,read,"⚠️ a SOURCE corruption, not a spelling: the dataset ran a global egg->eggs replacement. 141 lines.",
Q12047207,bhindi,okra,read,read,49 india lines.,
Q12047207,lady finger,okra,read,read,the English name the dataset glosses bhindi with.,
Q381350,sooji,semolina,read,read,134 india lines.,
Q381350,rava,semolina,read,read,the same grain under its southern name.,
Q1548030,capsicum,bell pepper,read,read,20 india lines. Indian and British English for the sweet pepper.,
Q227997,colocasia,Colocasia esculenta,read,read,20 india lines. 'taro' is already an alias on the same row.,
Q227997,arbi,Colocasia esculenta,read,read,the Hindi name for the same corm.,
Q212317,gingelly oil,sesame oil,read,read,23 india lines.,
Q212317,til oil,sesame oil,read,read,the same oil under its Hindi name.,
en:bitter-melon,karela,bitter melon,read,read,33 india lines.,
en:bitter-melon,bitter gourd,bitter melon,read,read,the English name the dataset glosses karela with.,
en:indian-gooseberry,amla,Indian Gooseberry,read,read,13 india lines.,
Q25434,saffron strands,saffron,read,read,"161 india lines. A strand is the form, not a different spice.",
Q774278,spring onion greens,scallion,read,read,106 india lines.,
heavy-cream,heavy whipping cream,heavy cream,read,read,58 india lines.,
Q1649635,basmati rice,basmati,read,read,105 india lines.,
Q732925,idli rice,parboiled rice,read,read,31 india lines.,
en:finger-millet,ragi,finger millet,read,read,the Kannada name.,
Q104037539,bajra,pearl millet,read,read,"⚠️ reaches the generic 'seed' today, which is a resolved-but-wrong link.",
en:black-cumin,kala jeera,black cumin,read,read,11 india lines.,
Q3393961,corn flour,cornstarch,read,read,⚠️ SCOPED. An Indian writer means cornstarch; an American one means cornmeal. Both rows exist and the name reaches neither. 181 india lines.,india
Q3393961,cornflour,cornstarch,read,read,"⚠️ SCOPED, same reason as 'corn flour'.",india
Q651829,gram flour,chickpea flour,read,read,besan. 302 india + 168 recipenlg lines reached bare 'flour' before the parser stopped eating the leading 'gram'.,
Q651829,gram flour (besan),chickpea flour,read,read,"the glossed spelling, same ingredient.",
Q12425838,gram dal,split chickpea,read,read,chana dal.,
en:mung-bean,green gram,mung bean,read,read,"the pulse, not a mass of anything.",
en:pigeon-pea,red gram,pigeon pea,read,read,toor dal.,
Q61505177,horse gram,lentil,read,read,kulith. The nearest row the catalog holds.,
Q198815,goats cheese,goat cheese,read,read,"⚠️ the plural form does not reach the singular canonical, and the TYPE_TAIL strip is blocked for it on purpose. 95 corpus lines.",
curry-leaf,curry leaf,curry leaves,read,read,"the singular. The canonical is plural, so depluralize cannot reach it.",
curry-leaf,kadi patta,curry leaves,read,read,the Hindi name the india dataset writes.,
kalonji,nigella,kalonji,read,read,"the English name. ⚠️ NOT pointed at black cumin, which Andy ruled botanically distinct.",
kalonji,nigella seeds,kalonji,read,read,"the same, written with the form word.",
Q61505177,gram lentil,lentil,read,read,"⚠️ the last 5 lines the gram whitelist left unresolved. It reached generic 'lentil' before the fix and now reaches nothing, so the alias restores exactly what it had.",
