# hand_links.csv - the category vocabulary and the relation edges, authored.
#
# ⚠️ THE FOURTH HAND FILE, and the DURABLE source for library_categories and library_relations.
#    Everything else in the catalog is replayed from a hand file on every build, and an edge
#    stored only in recipes.db would be orphaned by the next fold with nothing to notice.
#
# ⚠️ THIS TABLE HOLDS ONLY FILTER CATEGORIES, terms that are NOT catalog rows. A kind_of parent
#    IS a catalog row and needs no entry here, so a kind_of edge points at a library_id and an
#    in_category edge points at a slug below. 'Is X a kind_of parent' is derived, not stored.
#
# ⚠️ FORMS INHERIT. garlic powder is made_from garlic, which is an allium, so it reaches the
#    category through its parent. A direct edge would be the almond-flour error one layer up.
#
# Spec: previews/category-vocabulary-final.md
#
# --- section: categories ---
category_id,name,parent_slug,note
cold-cut,cold cut,,promoted from a kind_of row-parent so its specifics are browsable
common-bean,common bean,,
condiment,condiment,,
cooking-apple,cooking apple,apple,promoted from a kind_of row-parent so its specifics are browsable
cooking-oil,cooking oil,,
cornmeal,cornmeal,,promoted from a kind_of row-parent so its specifics are browsable
cow-s-milk,cow's milk,milk,promoted from a kind_of row-parent so its specifics are browsable
cow-s-milk-cheese,cow s milk cheese,,
cream,cream,,promoted from a kind_of row-parent so its specifics are browsable
cucumber,cucumber,,promoted from a kind_of row-parent so its specifics are browsable
cut-of-beef,cut of beef,beef,promoted from a kind_of row-parent so its specifics are browsable
cut-of-fish,cut of fish,fish,promoted from a kind_of row-parent so its specifics are browsable
dairy,dairy,,
dairy-product,dairy product,,
dark-chocolate,dark chocolate,,
date,date,,promoted from a kind_of row-parent so its specifics are browsable
dried-fruit,dried fruit,fruit,promoted from a kind_of row-parent so its specifics are browsable
dried-meat,dried meat,meat,promoted from a kind_of row-parent so its specifics are browsable
durum-wheat,durum wheat,wheat,promoted from a kind_of row-parent so its specifics are browsable
edible-mushroom,edible mushroom,,promoted from a kind_of row-parent so its specifics are browsable
edible-seaweed,edible seaweed,,promoted from a kind_of row-parent so its specifics are browsable
egg,egg,,promoted from a kind_of row-parent so its specifics are browsable
egg-as-food,egg as food,,promoted from a kind_of row-parent so its specifics are browsable
egg-white,egg white,,promoted from a kind_of row-parent so its specifics are browsable
egg-yolk,egg yolk,,promoted from a kind_of row-parent so its specifics are browsable
essential-oil,essential oil,,
extra-virgin-olive-oil,extra virgin olive oil,oil,a sub-family nested under its family
farmstead-cheese,farmstead cheese,cheese,promoted from a kind_of row-parent so its specifics are browsable
fish,fish,,
fish-sauce,fish sauce,,
flour,flour,,promoted from a kind_of row-parent so its specifics are browsable
food-paste,food paste,,promoted from a kind_of row-parent so its specifics are browsable
fortified-wine,fortified wine,,
french-cheese,French cheese,cheese,promoted from a kind_of row-parent so its specifics are browsable
fresh-cheese,fresh cheese,,
fresh-fruit,fresh fruit,fruit,promoted from a kind_of row-parent so its specifics are browsable
fruit,fruit,,
fruit-jam,fruit jam,,
fruit-juice,fruit juice,,
fruit-preserves,fruit preserves,,
fruit-syrup,fruit syrup,,
game-meat,game meat,meat,promoted from a kind_of row-parent so its specifics are browsable
garlic,garlic,,promoted from a kind_of row-parent so its specifics are browsable
globe-artichoke,globe artichoke,,promoted from a kind_of row-parent so its specifics are browsable
glucose-syrup,glucose syrup,,
goat-cheese,goat cheese,,
goat-meat,goat meat,meat,promoted from a kind_of row-parent so its specifics are browsable
goat-milk,goat milk,milk,promoted from a kind_of row-parent so its specifics are browsable
grain,grain,,promoted from a kind_of row-parent so its specifics are browsable
grape,grape,,promoted from a kind_of row-parent so its specifics are browsable
grape-juice,grape juice,juice,promoted from a kind_of row-parent so its specifics are browsable
grapefruit,grapefruit,,promoted from a kind_of row-parent so its specifics are browsable
green-bean,green bean,bean,a sub-family nested under its family
green-tea,green tea,,
groat,groat,,promoted from a kind_of row-parent so its specifics are browsable
ham,ham,,promoted from a kind_of row-parent so its specifics are browsable
hazelnut,hazelnut,,promoted from a kind_of row-parent so its specifics are browsable
herb,herb,,"cilantro, parsley, basil, rosemary, chives and oregano were re-pointed here off 'spice'."
honey,honey,,promoted from a kind_of row-parent so its specifics are browsable
honey-from-france,honey from France,,promoted from a kind_of row-parent so its specifics are browsable
hot-sauce,hot sauce,,
ice-cream,ice cream,cream,promoted from a kind_of row-parent so its specifics are browsable
italian-cheese,Italian cheese,cheese,promoted from a kind_of row-parent so its specifics are browsable
jam,jam,,
juice,juice,,
kelp,kelp,,promoted from a kind_of row-parent so its specifics are browsable
kiwifruit,kiwifruit,,promoted from a kind_of row-parent so its specifics are browsable
lamb-meat,lamb meat,meat,promoted from a kind_of row-parent so its specifics are browsable
leaf-vegetable,leaf vegetable,,
legume,legume,,"⚠️ NAMED 'legume', NOT 'pulse'. The sources say pulse, which is technical and British. A US cook says legumes, and the cook's name wins. 20 children, 10 recipe lines. 'bean' nests under it."
lemon,lemon,,promoted from a kind_of row-parent so its specifics are browsable
lentil,lentil,,
lentils,lentils,,
liqueur,liqueur,,
liver,liver,,promoted from a kind_of row-parent so its specifics are browsable
long-grain-rice,long-grain rice,rice,promoted from a kind_of row-parent so its specifics are browsable
maize,maize,,promoted from a kind_of row-parent so its specifics are browsable
malt,malt,,promoted from a kind_of row-parent so its specifics are browsable
mango,mango,,promoted from a kind_of row-parent so its specifics are browsable
mayonnaise,mayonnaise,,
meat,meat,,
melon,melon,,promoted from a kind_of row-parent so its specifics are browsable
milk,milk,,promoted from a kind_of row-parent so its specifics are browsable
milk-chocolate,milk chocolate,,
millet,millet,,promoted from a kind_of row-parent so its specifics are browsable
minced-meat,minced meat,meat,promoted from a kind_of row-parent so its specifics are browsable
miso,miso,,promoted from a kind_of row-parent so its specifics are browsable
mixed-spices,mixed spices,,
molasses,molasses,,
mushroom,mushroom,,
mussel,mussel,,promoted from a kind_of row-parent so its specifics are browsable
mustard,mustard,,
natural-rind-soft-cheese,natural-rind soft cheese,cheese,promoted from a kind_of row-parent so its specifics are browsable
new-mexico-chile,New Mexico chile,,promoted from a kind_of row-parent so its specifics are browsable
noodle,noodle,,
nut,nut,,
oats,oats,,promoted from a kind_of row-parent so its specifics are browsable
offal,offal,,promoted from a kind_of row-parent so its specifics are browsable
oil,oil,,promoted from a kind_of row-parent so its specifics are browsable
oily-fish,oily fish,fish,promoted from a kind_of row-parent so its specifics are browsable
olive,olive,,promoted from a kind_of row-parent so its specifics are browsable
olive-oil,olive oil,oil,a sub-family nested under its family
onion,onion,,promoted from a kind_of row-parent so its specifics are browsable
orange,Orange,,promoted from a kind_of row-parent so its specifics are browsable
orange-juice,orange juice,juice,a sub-family nested under its family
palm-oil,palm oil,oil,promoted from a kind_of row-parent so its specifics are browsable
paprika,paprika,,promoted from a kind_of row-parent so its specifics are browsable
parboiled-rice,parboiled rice,rice,promoted from a kind_of row-parent so its specifics are browsable
pasta,pasta,,
pea,pea,,promoted from a kind_of row-parent so its specifics are browsable
peach,peach,,promoted from a kind_of row-parent so its specifics are browsable
peanut,peanut,,promoted from a kind_of row-parent so its specifics are browsable
pear,pear,,promoted from a kind_of row-parent so its specifics are browsable
pepper,pepper,,promoted from a kind_of row-parent so its specifics are browsable
peppercorn,peppercorn,,promoted from a kind_of row-parent so its specifics are browsable
persimmon,persimmon,,promoted from a kind_of row-parent so its specifics are browsable
pickle,pickle,,
pineapple,pineapple,,promoted from a kind_of row-parent so its specifics are browsable
plant-milk,plant milk,,
plum,plum,,promoted from a kind_of row-parent so its specifics are browsable
pomace-brandy,pomace brandy,brandy,promoted from a kind_of row-parent so its specifics are browsable
pork,pork,,promoted from a kind_of row-parent so its specifics are browsable
potato,potato,,promoted from a kind_of row-parent so its specifics are browsable
poultry,poultry,meat,"13 children, 4 recipe lines. Core: chicken, goose, guinea hen, pheasant. ⚠️ Thin, and the children carry noise (poultry liver, skin, protein, broth are parts, not birds)."
poultry-meat,poultry meat,meat,promoted from a kind_of row-parent so its specifics are browsable
pressed-cooked-cheese,pressed cooked cheese,cheese,promoted from a kind_of row-parent so its specifics are browsable
primal-cut,primal cut,,promoted from a kind_of row-parent so its specifics are browsable
pumpkin,pumpkin,,promoted from a kind_of row-parent so its specifics are browsable
pur-e,purée,,promoted from a kind_of row-parent so its specifics are browsable
quark,quark,,promoted from a kind_of row-parent so its specifics are browsable
raisin,raisin,,promoted from a kind_of row-parent so its specifics are browsable
raw-ham,raw ham,ham,promoted from a kind_of row-parent so its specifics are browsable
raw-milk-cheese,raw-milk cheese,cheese,promoted from a kind_of row-parent so its specifics are browsable
rice,rice,,promoted from a kind_of row-parent so its specifics are browsable
rice-flour,rice flour,flour,promoted from a kind_of row-parent so its specifics are browsable
root-vegetable,root vegetable,,cleaned. 86% of its recipe weight was misfiled aromatics.
rye,rye,,promoted from a kind_of row-parent so its specifics are browsable
rye-flour,rye flour,flour,promoted from a kind_of row-parent so its specifics are browsable
salmon,salmon,,promoted from a kind_of row-parent so its specifics are browsable
salt,salt,,promoted from a kind_of row-parent so its specifics are browsable
saltwater-fish,saltwater fish,fish,promoted from a kind_of row-parent so its specifics are browsable
sambal,sambal,,
sauce,sauce,,
sausage,Sausage,,promoted from a kind_of row-parent so its specifics are browsable
sausage-meat,sausage meat,meat,promoted from a kind_of row-parent so its specifics are browsable
scallop,scallop,,promoted from a kind_of row-parent so its specifics are browsable
sea-salt,sea salt,salt,a sub-family nested under its family
seafood,seafood,,
seed,seed,,
seed-oil,seed oil,,
semolina,semolina,,promoted from a kind_of row-parent so its specifics are browsable
sesame-seed,sesame seed,seed,a sub-family nested under its family
sheep-milk-cheese,sheep milk cheese,,
shoot-vegetable,shoot vegetable,vegetable,promoted from a kind_of row-parent so its specifics are browsable
shrimp,shrimp,,promoted from a kind_of row-parent so its specifics are browsable
skipjack-tuna,skipjack tuna,tuna,promoted from a kind_of row-parent so its specifics are browsable
smoked-meat,smoked meat,meat,promoted from a kind_of row-parent so its specifics are browsable
soft-cheese,soft cheese,,
sour-cream,sour cream,cream,a sub-family nested under its family
sourdough,sourdough,,promoted from a kind_of row-parent so its specifics are browsable
soy-bean,soy bean,bean,promoted from a kind_of row-parent so its specifics are browsable
soy-sauce,soy sauce,,
spanish-cheese,Spanish cheese,cheese,promoted from a kind_of row-parent so its specifics are browsable
spice,spice,,
spice-mix,spice mix,,
spinach,spinach,,promoted from a kind_of row-parent so its specifics are browsable
squid,squid,,promoted from a kind_of row-parent so its specifics are browsable
starch,starch,,
stock,stock,,promoted from a kind_of row-parent so its specifics are browsable
strawberry,strawberry,,promoted from a kind_of row-parent so its specifics are browsable
stuffed-pasta,stuffed pasta,,
sugar,sugar,,promoted from a kind_of row-parent so its specifics are browsable
sunflower-oil,sunflower oil,oil,a sub-family nested under its family
sweet-cherry,sweet cherry,,promoted from a kind_of row-parent so its specifics are browsable
sweet-potato,sweet potato,potato,a sub-family nested under its family
sweetener,sweetener,,
swiss-cheeses,Swiss cheeses,,promoted from a kind_of row-parent so its specifics are browsable
syrup,syrup,,
table-apple,table apple,apple,promoted from a kind_of row-parent so its specifics are browsable
table-salt,table salt,salt,a sub-family nested under its family
taproot-vegetable,taproot vegetable,vegetable,promoted from a kind_of row-parent so its specifics are browsable
tea,tea,,
teff,teff,,promoted from a kind_of row-parent so its specifics are browsable
tofu,tofu,,promoted from a kind_of row-parent so its specifics are browsable
tomato,tomato,,promoted from a kind_of row-parent so its specifics are browsable
tomato-sauce,tomato sauce,,
tree-nut,tree nut,,
triticum-spelta,Triticum spelta,,promoted from a kind_of row-parent so its specifics are browsable
tropical-fruit,tropical fruit,fruit,promoted from a kind_of row-parent so its specifics are browsable
tuna,tuna,,promoted from a kind_of row-parent so its specifics are browsable
turkey-meat,turkey meat,meat,promoted from a kind_of row-parent so its specifics are browsable
vanilla,vanilla,,promoted from a kind_of row-parent so its specifics are browsable
veal,veal,,promoted from a kind_of row-parent so its specifics are browsable
vegetable,vegetable,,'fruit vegetable' was retired and its members land here.
vegetable-juice,vegetable juice,,
venison,venison,,promoted from a kind_of row-parent so its specifics are browsable
vinegar,vinegar,,promoted from a kind_of row-parent so its specifics are browsable
washed-rind-cheese,washed-rind cheese,cheese,promoted from a kind_of row-parent so its specifics are browsable
water,water,,promoted from a kind_of row-parent so its specifics are browsable
wheat,wheat,,promoted from a kind_of row-parent so its specifics are browsable
wheat-flour,wheat flour,flour,promoted from a kind_of row-parent so its specifics are browsable
whey,whey,,promoted from a kind_of row-parent so its specifics are browsable
white-cabbage,white cabbage,cabbage,promoted from a kind_of row-parent so its specifics are browsable
white-fish,white fish,fish,promoted from a kind_of row-parent so its specifics are browsable
white-mold-rind-cheese,white mold-rind cheese,cheese,promoted from a kind_of row-parent so its specifics are browsable
white-seedless-grape,white seedless grape,grape,promoted from a kind_of row-parent so its specifics are browsable
white-wine,white wine,,
whole-egg,whole egg,egg,promoted from a kind_of row-parent so its specifics are browsable
wholemeal-flour,wholemeal flour,flour,promoted from a kind_of row-parent so its specifics are browsable
wine,wine,,
yogurt,yogurt,,promoted from a kind_of row-parent so its specifics are browsable

child,parent,kind,source,confidence,note
Q4116639,salt,in_category,wikidata,high,
Q95388739,Q36465,kind_of,wikidata,high,
Q95388739,flour,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q93165,oil,in_category,wikidata,picked,READ+KEPT: correct.
Q57312618,Q34172,kind_of,wikidata,high,
Q57312618,butter,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q14789810,Q93165,kind_of,wikidata,high,
Q14789810,oil,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q4409456,sugar,kind_of,off,high,
Q4409456,sugar,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q65523167,herb,in_category,read,read,"RE-POINTED: the fresh leaf. A cook shelves it with herbs, not spices. Same shape as kosher-salt: taxonomically"
en:vanilla-extract,Q13241,kind_of,off,high,
en:vanilla-extract,vanilla,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q774278,vegetable,in_category,wikidata,high,
Q1375049,Q1093742,kind_of,off,high,READ+KEPT: correct.
Q1375049,lemon,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q22915010,spice,in_category,wikidata,high,
Q4739805,oil,in_category,wikidata,high,
Q3393961,starch,in_category,wikidata,high,
Q282694,salt,in_category,wikidata,picked,
Q5361217,fruit-juice,in_category,off,high,
Q30038889,spice,in_category,wikidata,high,
Q229385,sauce,in_category,wikidata,high,
en:cumin,seed,in_category,off,high,
Q20730193,spice,in_category,wikidata,high,
Q11190742,sugar,kind_of,off,high,
Q11190742,sugar,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q8484030,soy-sauce,in_category,wikidata,high,
Q16641308,chili-pepper,in_category,wikidata,high,
Q212317,oil,in_category,wikidata,picked,
Q744814,peppercorn,in_category,wikidata,picked,
Q2370943,spice,in_category,wikidata,picked,"READ+KEPT: correct. Used dried and whole, and it lives on the spice shelf."
Q65522500,herb,in_category,read,read,"RE-POINTED: an herb, not a leaf vegetable. Nobody eats a bowl of parsley."
Q1072946,chili-pepper,in_category,off,high,
Q8495,dairy,in_category,off,high,
Q34172,dairy-product,in_category,wikidata,picked,READ+KEPT: correct.
Q81,taproot-vegetable,in_category,off,high,READ+KEPT: correct.
pepper,seed,in_category,off,high,
Q8529545,soy-sauce,in_category,wikidata,high,
Q780827,sauce,in_category,wikidata,high,
Q12000036,seed,in_category,read,read,RE-POINTED: it is a seed. It was filed under spice.
Q3374445,Q8495,kind_of,wikidata,high,
Q3374445,milk,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q8051898,Q3406628,kind_of,wikidata,high,
Q8051898,onion,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q6598,chili-pepper,in_category,wikidata,high,
Q10987,syrup,in_category,wikidata,high,
Q20638126,vegetable,in_category,wikidata,picked,
Q1963621,chili-pepper,in_category,off,high,
Q20856764,spice,in_category,wikidata,picked,READ+KEPT: correct. Cilantro is the herb and coriander seed is the spice. The pair is right.
Q545985,sauce,in_category,wikidata,high,
heavy-cream,Q13228,kind_of,prose,authored,
heavy-cream,cream,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q10716334,Q21546392,kind_of,off,high,
Q10716334,garlic,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q622350,Q3406628,kind_of,wikidata,high,
Q622350,onion,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q7405972,condiment,in_category,wikidata,high,
Q383389,food-paste,in_category,wikidata,high,
Q2607161,meat,in_category,wikidata,high,
Q28165,spice,in_category,wikidata,high,
Q1062396,cocoa,in_category,off,high,
Q2735883,vegetable,in_category,wikidata,picked,
Q1499073,food-paste,in_category,wikidata,high,
Q155922,dairy-product,in_category,wikidata,picked,
Q65522654,herb,in_category,read,read,"RE-POINTED: fresh leaf, an herb."
en:chicken-broth,stock,in_category,possible_parent,authored,
Q426337,cow-s-milk-cheese,in_category,wikidata,picked,
en:firm-tofu,Q177378,kind_of,off,high,
en:firm-tofu,tofu,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q3127593,spice,in_category,wikidata,high,
Q36814998,leaf-vegetable,in_category,wikidata,picked,
Q64760509,chocolate,in_category,wikidata,high,
Q181409,egg,kind_of,off,high,
Q181409,egg,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q54962305,minced-meat,in_category,wikidata,picked,
nutmeg,spice,in_category,off,high,
Q106446932,Q1548030,kind_of,wikidata,high,
Q106446932,bell-pepper,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q148306,mixed-spices,in_category,off,picked,
Q16530385,spice,in_category,wikidata,high,
Q961769,tropical-fruit,in_category,wikidata,high,
Q110495184,Q3143131,kind_of,wikidata,high,
Q110495184,peppercorn,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q102354615,meat,in_category,wikidata,high,
Q1329680,chocolate,in_category,wikidata,high,
Q13228,dairy-product,in_category,wikidata,picked,
Q27658833,spice,in_category,wikidata,high,
Q2987371,Q145909,kind_of,wikidata,high,
Q504133,chili-pepper,in_category,wikidata,high,
Q14088,italian-cheese,in_category,wikidata,high,
Q5190222,chili-pepper,in_category,possible_parent,authored,
Q13241,spice,in_category,wikidata,high,
Q7995660,Q3406628,kind_of,wikidata,high,
Q7995660,onion,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q3066934,Q36465,kind_of,wikidata,high,
Q3066934,flour,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q1147190,Q13317,kind_of,wikidata,high,
Q1147190,yogurt,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q3073413,Q65522654,kind_of,off,high,
Q3073413,basil,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q23900272,vegetable,in_category,wikidata,high,
Q858049,Q8486,kind_of,wikidata,high,
Q858049,coffee,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q2733021,Q5090,kind_of,wikidata,high,
Q2733021,rice,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q45989,cabbage,in_category,off,high,
Q7093931,Q3406628,kind_of,off,high,
Q7093931,onion,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q68315046,herb,in_category,read,read,RE-POINTED: an herb.
Q23055566,Q34172,kind_of,wikidata,high,
Q23055566,butter,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q11254,spice,in_category,wikidata,high,
en:thyme,herb,in_category,off,high,
Q10210,wine,in_category,wikidata,high,
Q11106,pork,in_category,possible_parent,authored,
Q106612,Q8495,kind_of,possible_parent,authored,
Q106612,milk,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q14625808,spice,in_category,read,read,"RE-POINTED: a spice, not a condiment."
Q864693,meat,in_category,wikidata,high,
Q21156930,bean,in_category,wikidata,high,
Q14624,mixed-spices,in_category,off,high,
Q3408258,minced-meat,in_category,possible_parent,authored,
Q13195,citrus-fruit,in_category,wikidata,picked,
en:roasted-peanut,Q3621199,kind_of,off,high,
en:roasted-peanut,peanut,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:russet-potatoes,Q16587531,kind_of,off,high,
en:russet-potatoes,potato,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:smoked-paprika,Q3127593,kind_of,off,high,
en:smoked-paprika,paprika,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q16131953,spice,in_category,wikidata,picked,"READ+KEPT: correct, a spice."
Q13225835,Q36465,kind_of,possible_parent,authored,
Q13225835,flour,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:fresh-basil,Q65522654,kind_of,off,high,
en:fresh-basil,basil,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q842618,sauce,in_category,read,read,RE-POINTED: it contains anchovy and is not a fish sauce.
Q137254262,Q36814998,kind_of,wikidata,high,
Q137254262,spinach,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q503,tropical-fruit,in_category,wikidata,high,
en:brown-lentils,lentils,in_category,off,high,
Q98841400,oil,in_category,wikidata,picked,
Q841779,Q3342808,kind_of,off,high,
Q841779,coconut,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q216235,oil,in_category,off,high,
Q10286140,semolina,in_category,wikidata,picked,
Q11060609,white-wine,in_category,wikidata,high,
Q13417087,Q8495,kind_of,off,high,
Q13417087,milk,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q1051492,spice-mix,in_category,wikidata,high,
Q103795986,peppercorn,in_category,wikidata,picked,
Q1031291,cream,in_category,wikidata,high,
Q11261547,vegetable,in_category,wikidata,high,
Q1807269,vegetable,in_category,wikidata,high,
Q1093742,citrus-fruit,in_category,wikidata,picked,
Q206454,Q1093742,kind_of,possible_parent,authored,
Q206454,lemon,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:long-grain-white-rice,long-grain-rice,in_category,off,high,
Q139031885,Q13191,kind_of,off,high,
Q139031885,orange,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q1549017,sugar,kind_of,off,high,
Q1549017,sugar,in_category,restructure,authored,browsable family added beside the kind_of it already had
pasta,Q12117,kind_of,off,high,
Q2623066,spice-mix,in_category,wikidata,high,
Q1849012,Q41354,kind_of,wikidata,high,
Q1849012,vinegar,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q1208221,cereal-flakes,in_category,wikidata,high,
en:sea-salt-flakes,Q282694,kind_of,off,high,
en:sea-salt-flakes,sea-salt,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q1760637,spice,in_category,wikidata,high,
Q3496785,Q3406628,kind_of,wikidata,high,
Q3496785,onion,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:vodka,alcohol,in_category,off,high,
Q208021,tree-nut,in_category,off,picked,
Q134959291,Q41354,kind_of,possible_parent,authored,
Q134959291,vinegar,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q7533,vegetable,in_category,wikidata,picked,
Q28163310,Q16587531,kind_of,wikidata,high,
Q28163310,potato,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q756800,Q3143131,kind_of,wikidata,high,
Q756800,peppercorn,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q4733897,Q184357,kind_of,off,high,
Q4733897,almond,in_category,restructure,authored,browsable family added beside the kind_of it already had
en:asparagus,shoot-vegetable,in_category,off,high,
Q208172,bread,in_category,off,high,
Q379813,Q145909,kind_of,off,high,
en:beef-broth,stock,in_category,off,picked,
Q1548030,vegetable,in_category,wikidata,high,
Q5032643,Q20638126,kind_of,wikidata,high,
Q5032643,tomato,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q3502834,sugar,kind_of,off,high,
Q3502834,sugar,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q10943,dairy-product,in_category,wikidata,picked,
Q6540634,Q20638126,kind_of,wikidata,high,
Q6540634,tomato,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q3823327,Q170486,kind_of,wikidata,high,
Q3823327,ham,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q277628,chocolate,in_category,wikidata,high,
Q2165995,cut-of-beef,in_category,wikidata,high,
Q67778610,Q29472543,kind_of,wikidata,high,
Q67778610,pea,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q67865843,Q1548030,kind_of,wikidata,high,
Q67865843,bell-pepper,in_category,restructure,authored,browsable family added beside the kind_of it already had
Q67445346,lentil,in_category,wikidata,high,
Q5610979,minced-meat,in_category,wikidata,high,
Q104666136,leaf-vegetable,in_category,wikidata,high,
Q25618328,grain,in_category,wikidata,high,
Q465934,citrus-fruit,in_category,wikidata,high,
Q2223519,dairy-product,in_category,wikidata,high,
en:meatball,meat,in_category,off,high,
Q1621080,vegetable,in_category,off,picked,
