# hand_repoints.csv - the link decisions the matcher cannot reach on its own.
#
# ⚠️ THE MATCHER REPRODUCES 2,746 OF THE 2,778 LINKS. The rows below are the rest, and they are
# judgements about what a cook means rather than anything a rule can derive. Held here so a
# rebuild replays them instead of losing them with the database.
#
# Two actions.
#
#   repoint   send the line at a different catalog row than the matcher would choose. Plain flour
#             reaches the generic flour row on its own, and a cook means all-purpose flour.
#
#   suppress  refuse a match the matcher WOULD make. White miso is not the generic miso row and
#             self-rising flour is not plain flour, so the link is withheld on purpose. Without
#             these three lines a rebuild writes 2,781 links where the library holds 2,778.
#
#   relabel   keep the matcher's target and restore the rule string a hand pass wrote.
#             Phase C released 25 lines from AMBIGUOUS, and 'phasec_release:' on the rule
#             is how that is visible afterwards. Without these the links are right and
#             the provenance is silently gone.
#
# ⚠️ KEYED ON (recipe_id, position), unique over all 3,555 lines. The id column is a rowid that
# build_db regenerates, so it would survive nothing. line_check carries the text as it read when
# the decision was made, and a line that no longer matches stops the run rather than repointing
# something unrelated.
#
# ⚠️ APPLIED AFTER THE MATCHER, always. Every row here overrides what the matcher just wrote.
#
action,recipe_id,position,catalog_id,link_confidence,link_rule,link_matched,line_check
relabel,baked-cauliflower-with-red-onions-feta-and-dill-firinda-karnabahar-mucveri,1,Q622350,exact,phasec_release:exact,red onion,red onion (finely chopped)
relabel,baked-rosemary-chickpeas,3,Q622350,exact,phasec_release:plural,red onion,"red onions, thinly sliced"
relabel,blueberry-muffin-sugar-cookies,1,Q13178,form_strip,phasec_release:form_strip:fresh medium,blueberry,pint fresh medium blueberries (not frozen)
relabel,breakfast-burrito,1,Q11106,exact,phasec_release:exact,bacon,bacon or sausage
relabel,burgers,0,Q10990,form_strip,phasec_release:form_strip:ground,meat,Ground meat / ground turkey
relabel,cheesy-congee,3,Q11106,exact,phasec_release:exact,bacon,"bacon, cut into ½-inch pieces"
relabel,chicken-shawarma,16,Q622350,exact,phasec_release:exact,red onion,"Red onion, finely sliced"
relabel,chips-and-salsa,5,Q622350,exact,phasec_release:plural,red onion,red onions
relabel,coconut-curried-golden-lentils,4,Q216235,exact,phasec_release:exact,coconut oil,coconut oil (or water)
relabel,egg-paratha-wrap,8,Q622350,exact,phasec_release:exact,red onion,Red onion
relabel,herbed-focaccia,8,Q622350,exact,phasec_release:exact,red onion,"red onion, finely sliced"
relabel,kfc-spicy-chicken-rice-bowl,22,Q622350,exact,phasec_release:exact,red onion,"red onion, short juliennes"
relabel,korean-scallion-pancake,5,Q37937,exact,phasec_release:exact,sweet potato,sweet potato
relabel,matcha-amaretti-cookies,1,Q822331,form_strip,phasec_release:form_strip:powder,matcha,matcha powder
relabel,mussakhan,9,Q622350,exact,phasec_release:plural,red onion,"red onions, finely sliced into half-moons"
relabel,pan-fried-cabbage-with-bacon-and-green-onions,1,Q11106,exact,phasec_release:exact,bacon,"bacon, cut crosswise into /-inch pieces"
relabel,panang-curry,13,Q1139302,exact,phasec_release:exact,coconut cream,"coconut cream , full-fat"
relabel,pasta-with-parsnips-and-bacon,4,Q11106,exact,phasec_release:exact,bacon,"bacon, diced"
relabel,southwest-tofu-scramble,3,Q622350,exact,phasec_release:exact,red onion,red onion (thinly sliced)
relabel,spiced-filipino-adobo-with-chicken-and-pork,7,Q216235,exact,phasec_release:exact,coconut oil,coconut oil or vegetable oil
relabel,strawberry-banana-smoothie,0,Q14458220,form_strip,phasec_release:form_strip:frozen,strawberry,frozen strawberries
relabel,sweet-potato-and-onion-hash,0,Q37937,form_strip,phasec_release:form_strip:white,sweet potato,"white sweet potatoes, peeled and cut into medium dice"
relabel,thai-tea-ice-cream-chatramues-thai-tea,9,Q216235,exact,phasec_release:exact,coconut oil,"coconut oil, optional"
relabel,warm-squash-chickpea-salad-with-tahini,6,Q622350,exact,phasec_release:exact,red onion,"red onion, finely chopped"
