# authored_rows.csv — rows Andy authored, read by build_library.py on every build.
#
# ⚠️ THE MIRROR OF hand_removals.csv. One file for what comes out, one for what goes in.
#
# ⚠️ AN AUTHORED ROW IS A CLAIM ABOUT THE WORLD, NOT ABOUT A SOURCE. Every other row in
#    the library traces to a fetch: Wikidata, Open Food Facts or Wiktionary made it an
#    entry and the pipeline copied it. These rows exist because the thing exists and no
#    source we hold has it. Under docs/sourcing-tiers.md they ship GENERATED until
#    someone traces them, which is what the sources column is for.
#
# ⚠️ anchor IS EMPTY AND STAYS EMPTY. An earlier draft wrote anchor="authored", which
#    reads as a fourth source and is not one. There is no fetch behind it, no entry_id
#    to check, nothing to re-derive on a rebuild. "No source made this an entry" is
#    stated, not disguised. The sheet renders it as "authored by hand, no source".
#
# id       a slug of the name, and ⚠️ THE ONLY IDENTIFIER IN THE PIPELINE THAT NOTHING
#          EXTERNAL CAN CONFIRM. It has to stay stable across rebuilds or every hand
#          removal keyed to it dangles. Change a name, keep the id.
#          The hand-removal key is ("", <id>), since anchor is empty.
# name     the canonical. What a cook writes.
# reason   ⚠️ REQUIRED. A row with no reason is rejected by the build, the same rule as
#          ingredient_cuts.OVERRIDES and hand_removals.csv.
#          ⚠️ CARRY THE MEASUREMENT HERE where it is known. "52 recipe lines, 32
#             dependents" is why the row exists, and nothing else records it: the
#             library has no field for "is a specific of", so the relationship these
#             rows are general to lives in this sentence until something models it.
# added    the date, so a GENERATED claim carries its age.
# sources  optional, usually empty at creation. Filling it is the promotion path from
#          GENERATED to CURATED. Semicolon-separated. ⚠️ IGNORED ON A SEEDED ROW, which
#          computes its sources from the tags its names actually carry.
# seed     optional. Semicolon-separated names or Q-numbers. ⚠️ THE COLUMN THAT MAKES
#          EXTRACTION POSSIBLE. A row with no seed carries one name and no provenance,
#          which is right for 'salt' and wrong for a member read out of a category.
#          Seeding pulls in every name the named buckets carry, each with the source,
#          field and language that supplied it, exactly as ingredient_cuts.OVERRIDES does.
#          ⚠️ A SEED NAMES ONE CONCEPT AND USUALLY TAKES SEVERAL TOKENS TO DO IT.
#             Measured on fortified wine: 15 candidate names, 5 concepts, so about three
#             names per concept. Port, port, Porto, Port wine, Port Wine (DOC) and Vinho
#             do Porto are one thing spelled six ways and belong in ONE seed, not six
#             rows. Grouping the names into concepts is the reading, and it happens
#             before anything is written here.
#          The six rows below are UNSEEDED on purpose: they are general terms the corpus
#          needed a home for, not members read out of anything.
#
# ⚠️ These six are FLAT. Nothing records that 'kosher salt' is a specific of 'salt'.
#    That relationship is real and is deliberately not built yet: honey with 37 varietal
#    children and sesame oil with 4 distinct products are different relationships, and
#    nothing measured separates them. Building the link now means building it twice.
id,name,reason,added,sources,seed
bone-broth,bone broth,"EXTRACTED from the broth row on 2026-08-25. Simmered from bones for long enough to draw out gelatin, which is what makes it set in the fridge, rather than the meat broth the holder covers. Grouped from bone broth and bone stock. ⚠️ The seed names Wikidata Q25098799 alone. Q275068 and Q3075310 also state bone broth but they ARE the broth and stock concepts, so seeding either would fold the parent back in.",2026-08-25,,wikidata:Q25098799;wikipedia_redirect:60631429
dill,dill,"EXTRACTED from the Foeniculum vulgare row on 2026-08-25. ⚠️ A DIFFERENT PLANT. Anethum graveolens, not fennel, and the two met through botanical synonymy: fennel was once filed as Anethum foeniculum and dill is Anethum graveolens, so the genus name collided. An ordinary herb with no row of its own.",2026-08-25,,off_taxonomy:en:dill;off_taxonomy:4794;agrovoc:c_10377;wiktextract:en:dill:noun#1
fenugreek,fenugreek,"EXTRACTED from the Foeniculum vulgare row on 2026-08-25. ⚠️ A DIFFERENT PLANT AGAIN. Trigonella foenum-graecum, and it reached the fennel row through the shared Latin foenum rather than through any resemblance. An ordinary spice with no row of its own.",2026-08-25,,off_taxonomy:en:fenugreek;off_taxonomy:4741;agrovoc:c_b8cb7919;wiktextract:en:fenugreek:noun#0
spearmint,spearmint,"EXTRACTED from the basil row on 2026-08-25. Mentha spicata, the common cooking mint, sitting on basil because Open Food Facts states it as a primary name there. A different herb entirely and it had no row.",2026-08-25,,off_taxonomy:en:spearmint;off_taxonomy:4820;agrovoc:c_4747;wiktextract:en:spearmint:noun#0
nutmeg,nutmeg,"EXTRACTED from the muscatel row on 2026-08-25. ⚠️ 2 RECIPE LINES SAY NUTMEG AND ITS ONLY HOLDER WAS A WINE. Muscat, muscatel and French muscade share a root, so the spice landed on the grape. An ordinary spice with no row of its own.",2026-08-25,,off_taxonomy:en:nutmeg;off_taxonomy:4721;wiktextract:en:nutmeg:noun#0
breadcrumbs,breadcrumbs,"EXTRACTED from the panko and paneer rows on 2026-08-25. A thing you buy, held by two rows and owned by neither. panko is a kind of it and has its own row. paneer is contamination, an Indian cheese reached by name collision.",2026-08-25,,off_taxonomy:en:breadcrumbs;off_taxonomy:6468;wikidata:Q658413;wikipedia_redirect:1277062
pasta,pasta,"EXTRACTED on 2026-08-25 from the twelve rows that carried it and the none that owned it. Both a thing you buy and a class over spaghetti and penne, the same shape as salt.
⚠️ THE BUCKET IS THE WORST SEEN SO FAR AND ONLY ONE ENTRY IN IT IS PASTA. pasta means dough or paste across Europe, so the bucket also holds Wikidata Q13266 biscuit, Q130186 cake, Q178024 dough, Q477248 pastry, Q5726634 food paste, Q1754566 chocolate spread and Q26791887 dessert pie. Q25397894 is the existing pasta and noodles row. The seed names Q178 alone.",2026-08-25,,wikidata:Q178;off_taxonomy:en:pasta;off_taxonomy:6323;agrovoc:c_5621;wikipedia_redirect:23871;wiktextract:en:pasta:noun#1
gnocchi,gnocchi,"EXTRACTED from the dumpling row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR NINE en.wikipedia ARTICLES, the most in the library, and 187 English names covering about fourteen concepts. Potato and flour, rolled and cut, boiled like pasta. Grouped from Gnocchi, Gnocci, Gnocco, Gnocchetti, Potato gnocchi and the regional dishes. ⚠️ The seed excludes Q1854639, which IS the dumpling row.",2026-08-25,,wikidata:Q20063;wikipedia_redirect:95411;wiktextract:it:gnocchi:noun#0
wonton,wonton,"EXTRACTED from the dumpling row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR NINE en.wikipedia ARTICLES, the most in the library, and 187 English names covering about fourteen concepts. A thin wheat wrapper around pork or shrimp, boiled in soup or fried. Grouped from Wonton, Huntun, Hun-t'un, Húntún, Hoanh thanh, Fried wonton and Cantonese wontons, which are one thing in seven transliterations.",2026-08-25,,wikidata:Q553905;wikipedia_redirect:47839315;wiktextract:en:wonton:noun#0
spatzle,spätzle,"EXTRACTED from the dumpling row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR NINE en.wikipedia ARTICLES, the most in the library, and 187 English names covering about fourteen concepts. A soft egg dough scraped straight into boiling water, so it has no wrapper and no filling and is a dumpling only by category. Grouped from Spätzle, Chnöpfli, Knöpfle, Knoepfle and Kaesespaetzle.",2026-08-25,,wikidata:Q20065;wikipedia_redirect:414614
knodel,knödel,"EXTRACTED from the dumpling row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR NINE en.wikipedia ARTICLES, the most in the library, and 187 English names covering about fourteen concepts. A bread or potato ball, boiled whole and served beside meat. Grouped from Knödel, Klöße, Kloesse, Knedlík, Knedliky, Knedli, Knedlji, Kniddel and Knoedel, eighteen spellings across German and the Slavic languages. ⚠️ The seed excludes Q5265534, which is the existing knedle row, and Q25431007, which is a Brazilian steamed bread.",2026-08-25,,wikidata:Q158382;wikipedia_redirect:178962
halusky,halušky,"EXTRACTED from the dumpling row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR NINE en.wikipedia ARTICLES, the most in the library, and 187 English names covering about fourteen concepts. Small potato dough pieces, Slovak, usually served with sheep cheese. Grouped from Halušky, Halusky, Halushky, Haluski, Halushka and Halushki.",2026-08-25,,wikidata:Q1575225;wikipedia_redirect:2136466
mandu,mandu,"EXTRACTED from the dumpling row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR NINE en.wikipedia ARTICLES, the most in the library, and 187 English names covering about fourteen concepts. Korean, a thin wrapper steamed or fried. Grouped from Mandu, Mandoo, Bakmandu, Gun-mandu, Memil mandu, Mulmandu and Gulmandu. ⚠️ The seed excludes AGROVOC c_3190, which is GARCINIA, a fruit genus that shares the bucket.",2026-08-25,,wikidata:Q284983;wiktextract:en:mandu:noun#0
maultasche,maultasche,"EXTRACTED from the dumpling row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR NINE en.wikipedia ARTICLES, the most in the library, and 187 English names covering about fourteen concepts. Swabian, a large filled pasta square, closer to ravioli than to a ball of dough. Grouped from Maultasche and Maultaschen. ⚠️ The seed excludes Q1854639, which IS the dumpling row.",2026-08-25,,wikidata:Q20055;wikipedia_redirect:602599
matzah-ball,matzah ball,"EXTRACTED from the dumpling row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR NINE en.wikipedia ARTICLES, the most in the library, and 187 English names covering about fourteen concepts. Matzo meal and egg, poached in broth. Grouped from Matzah ball, knaidel, knaidelach, knaidelech, knaidels and knaideluch.",2026-08-25,,wikidata:Q559201;wikipedia_redirect:1520236
hot-dog,hot dog,"EXTRACTED from the Sausage row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR SEVEN en.wikipedia ARTICLES and 155 English names covering about twenty-one concepts. ⚠️ Every seed here excludes Wikidata Q131419, which IS the Sausage row and sits in all of their buckets. An emulsified sausage in a split roll, and about thirty-five names for it were on the parent: hotdog, Hdog, wiener, Weenie, frankfurter, Fenway frank, glizzy, coney, Tube Steak, Durger, Gagger, Steaker. ⚠️ Twelve MORE were article titles about whether it is a sandwich, and those are removed rather than carried. See hand_removals.csv.",2026-08-25,,wikidata:Q181055;wikipedia_redirect:192368;wiktextract:en:hot dog:noun#0
bratwurst,bratwurst,"EXTRACTED from the Sausage row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR SEVEN en.wikipedia ARTICLES and 155 English names covering about twenty-one concepts. ⚠️ Every seed here excludes Wikidata Q131419, which IS the Sausage row and sits in all of their buckets. A fresh pork sausage, fried or grilled rather than cured. About twenty names, most of them regional: Coburger, Nürnberger Bratwürste in five spellings, Thüringer Rostbratwurst in seven.",2026-08-25,,wikidata:Q899882;wikipedia_redirect:225765;wiktextract:en:bratwurst:noun#0
longaniza,longaniza,"EXTRACTED from the Sausage row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR SEVEN en.wikipedia ARTICLES and 155 English names covering about twenty-one concepts. ⚠️ Every seed here excludes Wikidata Q131419, which IS the Sausage row and sits in all of their buckets. A long thin cured pork sausage, Spanish and then Filipino and Latin American. Fifteen names, and eight of them are spellings of hamonada, jamonada and de recado. Q62102359, longaniza de Aragón, is seeded with it as the same thing.",2026-08-25,,wikidata:Q3259068;wikidata:Q62102359;wikipedia_redirect:7803213
luganega,luganega,"EXTRACTED from the Sausage row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR SEVEN en.wikipedia ARTICLES and 155 English names covering about twenty-one concepts. ⚠️ Every seed here excludes Wikidata Q131419, which IS the Sausage row and sits in all of their buckets. A long coiled fresh sausage from northern Italy, sold by length rather than in links. One name on the parent and one of its seven articles.",2026-08-25,,wikidata:Q16574121;wikipedia_redirect:69416655
mettwurst,mettwurst,"EXTRACTED from the Sausage row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR SEVEN en.wikipedia ARTICLES and 155 English names covering about twenty-one concepts. ⚠️ Every seed here excludes Wikidata Q131419, which IS the Sausage row and sits in all of their buckets. A raw cured pork sausage, spreadable in the north German form. Grouped from Mettwurst, Metwurst, Mett sausage, Mettenden and Dutch mett.",2026-08-25,,wikidata:Q14608155;wikipedia_redirect:1262468
sobrassada,sobrassada,"EXTRACTED from the Sausage row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR SEVEN en.wikipedia ARTICLES and 155 English names covering about twenty-one concepts. ⚠️ Every seed here excludes Wikidata Q131419, which IS the Sausage row and sits in all of their buckets. A soft spreadable cured sausage from Mallorca, red with paprika. Grouped from Sobrassada, Sobrasada and Soubressade.",2026-08-25,,wikidata:Q633469;wikipedia_redirect:1687051
andouille,andouille,"EXTRACTED from the Sausage row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR SEVEN en.wikipedia ARTICLES and 155 English names covering about twenty-one concepts. ⚠️ Every seed here excludes Wikidata Q131419, which IS the Sausage row and sits in all of their buckets. Smoked and coarse in Louisiana, tripe-filled in France, and one word for both. ⚠️ Recorded as ONE row because no source on the parent separated them, which is a decision worth revisiting.",2026-08-25,,wikidata:Q492769;wikipedia_redirect:324995;wiktextract:en:andouille:noun#0
lap-cheong,lap cheong,"EXTRACTED from the Sausage row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR SEVEN en.wikipedia ARTICLES and 155 English names covering about twenty-one concepts. ⚠️ Every seed here excludes Wikidata Q131419, which IS the Sausage row and sits in all of their buckets. A dried sweet Chinese pork sausage, hard and needing cooking. Grouped from lap cheong, lap chong, lapcheong and lapchong.",2026-08-25,,wikidata:Q107035376
sucuk,sucuk,"EXTRACTED from the Sausage row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR SEVEN en.wikipedia ARTICLES and 155 English names covering about twenty-one concepts. ⚠️ Every seed here excludes Wikidata Q131419, which IS the Sausage row and sits in all of their buckets. A dry spiced beef sausage, Turkish and Balkan. Grouped from Sucuk, Sujuk, sucuk and sujuk. ⚠️ The seed excludes Q1477592, which is CHURCHKHELA, a Georgian walnut and grape-must sweet that shares the bucket.",2026-08-25,,wikidata:Q1432724;wikipedia_redirect:1859924
pancake,pancake,"EXTRACTED from the Crêpe row on 2026-08-25. ⚠️ THE BIGGEST GROUP ON THAT ROW AND NOT ITS CANONICAL. A crêpe is thin and unleavened and a pancake is thick and leavened, and the row was both. About fifty-five names: Pancake, Hotcake, Griddle cake in five spellings, Flannel cake, Drop scone, plus twenty nationality forms and eight flavor forms. ⚠️ Pancake race, Pancake Mix and Pancake restaurant chain are on the parent and are not foods.",2026-08-25,,wikidata:Q44541;wikidata:Q123459407;wikipedia_redirect:210472;wiktextract:en:pancake:noun#0
palatschinke,palatschinke,"EXTRACTED from the Crêpe row on 2026-08-25. The Central European thin pancake, rolled with jam or cheese, one of the four articles that row answered for. Fourteen spellings across Hungarian, Czech, Serbian and German: Palačinka, Palacsinta, Palacinke, Palatschinken. ⚠️ The seed excludes Q12200, which IS the crêpe concept.",2026-08-25,,wikidata:Q12264276;wikipedia_redirect:47862765
cracker,cracker,"EXTRACTED from the cookie row on 2026-08-25, after that row was renamed off biscuit. A thin dry baked square, savory rather than sweet, and the THIRD concept that row answered for. Saltines are not cookies. Wikidata Q856330 carries it and nothing in the library owned the name, so a line saying cracker reached the cookie row or the meat row depending on which won.",2026-08-25,,wikidata:Q856330;wiktextract:en:cracker:noun#0
cappuccino,cappuccino,"EXTRACTED from the espresso row on 2026-08-25. ⚠️ THAT ROW ANSWERED FOR 5 en.wikipedia ARTICLES and 114 English names covering about eleven concepts, with 0 recipe lines. Espresso, steamed milk and a foam cap, and the drink most people order by name. 31 of the espresso row's English names were this one thing, and ⚠️ 25 OF THE 31 ARE MISSPELLINGS: Capachino, Cappucino, Capuchinno, Cappaccinno and twenty-one more, all en.wikipedia redirects at the Cappuccino article. They are seeded ON PURPOSE. A recipe line typed 'cappucino' matching is the import matcher doing its job, and dropping them would trade a working match for tidiness. ⚠️ The seed excludes Q180289, which IS the espresso row.",2026-08-25,,wikidata:Q159774;wikipedia_redirect:36956;wiktextract:en:cappuccino:noun#0
caffe-macchiato,caffè macchiato,"EXTRACTED from the espresso row on 2026-08-25. Espresso marked with a spot of milk, and the word macchiato means stained. A different drink from a cappuccino by proportion, not a spelling of one. Grouped from 9 English names on the espresso row: Caffè macchiato, Caffe Macchiato, Espresso macchiato and their spellings. ⚠️ SEEDED ON Q731543 AND NOT ON THE BARE NAME. The bucket 'macchiato' also holds Q22929, which is LATTE MACCHIATO, a different drink built the other way round with the espresso poured into the milk. Seeding bare would have merged the two. ⚠️ The seed also excludes Q180289, the espresso row.",2026-08-25,,wikidata:Q731543;wikipedia_redirect:444172
caffe-corretto,caffè corretto,"EXTRACTED from the espresso row on 2026-08-25. Espresso corrected with a shot of liquor, usually grappa or sambuca. Grouped from 11 English names on the espresso row. The seed brings the Frisian Dokkumer koffie names with it, which are the same drink under a regional name. ⚠️ The seed excludes Q180289, which IS the espresso row.",2026-08-25,,wikidata:Q62451;wikipedia_redirect:479900
babycino,babycino,"EXTRACTED from the espresso row on 2026-08-25. ⚠️ STEAMED MILK FOAM WITH NO COFFEE IN IT AT ALL, served to a child in a small cup, so it sat on the espresso row while containing none. The clearest case on that row of a name reaching the wrong thing. Only 3 English names and a tiny row, which is correct: it is one drink. ⚠️ The seed excludes both Q180289 and en.wikipedia redirect 36956. Babycino sits in the Cappuccino article's redirect set as well as on its own item, which is the parent-in-the-child's-bucket trap in its sibling form.",2026-08-25,,wikidata:Q4838470;wikipedia_redirect:15824121;wiktextract:en:babycino:noun#0
lungo,lungo,"EXTRACTED from the espresso row on 2026-08-25. The long pull, roughly twice the water through the same grounds, which extracts further and tastes more bitter and less sweet. Grouped from 10 English names including the French café allongé. ⚠️ A ROW BECAUSE IT PASSES THE SUBSTITUTABILITY TEST AND doppio DOES NOT. A lungo and a ristretto taste different from an espresso and from each other. A doppio is two espressos, which is a quantity, and 'large' is the reductio. ⚠️ The seed excludes Q180289, the espresso row.",2026-08-25,,wikidata:Q59048;wikipedia_redirect:3639440;wiktextract:en:lungo:noun#0
ristretto,ristretto,"EXTRACTED from the espresso row on 2026-08-25. The short pull, about half the water through the same grounds, sweeter and thicker because the later bitter fractions never come through. The Spanish name corto means the same thing. Grouped from 2 English names plus its own item's 19. ⚠️ Same substitutability reasoning as lungo. ⚠️ The seed excludes Q180289, the espresso row.",2026-08-25,,wikidata:Q59047;wikipedia_redirect:555498
sauce-verte,sauce verte,"EXTRACTED from the green sauce row on 2026-08-25, one of the two holders that refuted the 20-name filter. The French cold herb sauce, tarragon, chervil, parsley and watercress blanched and blended into mayonnaise or oil. ⚠️ UNSEEDED, AND THAT IS A MEASUREMENT RATHER THAN AN OVERSIGHT. No source we hold makes this its own entry. The name appears only on Wikidata Q699382, which IS the green sauce row, and on en.wikipedia redirect 714128, which is that row's article, so every available seed drags the whole family (salsa verde, chimichurri, Grüne Soße) onto the child. The nearest separate item is Q3474143, sauce verte de Chausey, which is a Normandy sauce and a different thing. ⚠️ THE COST WAS MEASURED AND IS ZERO: a thin row wins its one name under rule 4 and NO spelling of the same concept stays behind on the parent. Wikidata's own description of Q699382 names this as one of five members, so the concept is stated by the source even though the entry is not.",2026-08-25,,
teuk-trey,teuk trey,"EXTRACTED from the nước mắm row on 2026-08-25, the second holder that refuted the 20-name filter. Cambodian fish sauce, thinner and lighter than the Vietnamese product, and a distinct thing rather than a translation of one. ⚠️ THE ROW IT CAME OFF IS VIETNAMESE FISH SAUCE and it was answering for the whole Asian family, reached through the en.wikipedia Fish sauce article: Cambodian, Chinese, Japanese and Korean fish sauce, plus Nam pa. ⚠️ THE TAMARI CHECK TOOK MOST OF THAT EXTRACTION: nam pla, Shottsuru, garum and Budu already have rows, patis sits on the general fish sauce row at 24 recipe lines and aekjeot sits on jeotgal, so teuk trey is the only member with no home anywhere. ⚠️ UNSEEDED for the same measured reason as sauce verte. No source we hold makes it an entry, the name exists only in redirect 46482, which is the Fish sauce article. Cost measured: one descriptor, 'Cambodian fish sauce', stays on the parent.",2026-08-25,,
