"⚠ PREVIEW ONLY. Nothing committed, recipes.db untouched."
""
"A uniform random 60 out of the 2,414-line AGREE block at HEAD 460cae5. AGREE means"
"the committed reduction ladder and seg0-core resolved the line to the SAME row."
"Library rebuilt fresh from join.db + sources.db: 11,357 rows, 10,527 KEPT,"
"184,891 index keys. Sample seed 20260827, drawn uniformly over the whole block."
""
"⚠ THE POINT. Both matchers query ONE index built by ONE normalizer, so they agree by"
"construction and fail together when the library ROW is wrong. The verdict below judges"
"THE ROW, not the agreement."
""
"BAND SPREAD, evidence the draw is representative:"
"   sample    HIGH 59   MEDIUM 1   LOW 0"
"   block     HIGH 58.4 MEDIUM 1.6 LOW 0.0  (expected at n=60)"
"   55 distinct recipes, 53 single-row matches, 7 ambiguous"
""
"VERDICTS: RIGHT 52   BOTH-OK-AMBIGUOUS 7   WRONG 1"
""
"note carries ⚠ where the ROW holds junk names even though this line's link is right,"
"and LOW where I am unsure of my own call."
""
"n","verdict","reason","note","confidence_band","recipe","raw_text","parsed_name","matched_phrase","coverage","rows_agreed_on","row_ids","n_rows","ladder_rung"
"29","RIGHT","vegetable oil, exact","⚠ the ROW claims 'Brunsli', a Swiss cookie. Hygiene.","HIGH","Kuku Paka (African Chicken Curry)","2 tbsp vegetable oil","vegetable oil","vegetable oil","1.00","vegetable oil","Q4739805","1","as-stored"
"30","RIGHT","turmeric, and the row's own names include 'ground turmeric'","","HIGH","Lotus Root and Jammy Tomatoes","½ teaspoon ground turmeric","ground turmeric","ground turmeric","1.00","turmeric","Q20730193","1","as-stored"
"31","RIGHT","ground cinnamon, exact and specific","","HIGH","Mejadra","ground cinnamon","","ground cinnamon","1.00","ground cinnamon","Q30038889","1","as-stored"
"32","RIGHT","unsalted butter, exact","","HIGH","Morning Buns with Orange Blossom Glaze","2 sticks (8 ounces) unsalted butter, at room temperature","sticks (8 ounces) unsalted butter, at room temperature","unsalted butter","1.00","unsalted butter","Q57312618","1","strip-container"
"33","RIGHT","egg, exact","","HIGH","Morning Buns with Orange Blossom Glaze","1 egg","egg","egg","1.00","egg","egg","1","as-stored"
"34","RIGHT","egg yolk, exact","⚠ the ROW claims 'Amanita caesarea', a mushroom. Hygiene.","HIGH","Pasta Alla Zozzona","2 Egg yolks","Egg yolks","egg yolks","1.00","egg yolk","Q181409","1","as-stored"
"35","BOTH-OK-AMBIGUOUS","garlic and Allium sativum are the same plant","⚠ the garlic row claims 'artificial intelligence' and 'AI'. Hygiene, badly.","HIGH","Pasta with Lentils","3 Cloves of Garlic","Garlic","garlic","1.00","garlic | Allium sativum","Q21546392 | Q23400","2","as-stored"
"36","RIGHT","kosher salt, exact","","HIGH","Peanut Chutney","½ teaspoon kosher salt, plus more if needed","kosher salt, plus more if needed","kosher salt","1.00","kosher salt","Q4116639","1","normalize"
"37","RIGHT","vegetable oil, exact","","HIGH","Potato Scallion Cakes (Fritterra)","2 tablespoons vegetable oil","vegetable oil","vegetable oil","1.00","vegetable oil","Q4739805","1","as-stored"
"38","WRONG","⚠ THE ROW IS THE CHILI PEPPER, THE LINE IS A CUP OF SAUCE","Q512580 'piri piri' is P279 chili pepper / cultivar. It claims 'Piri-piri sauce' and 'Peri-peri (Portuguese sauce)' through a WIKIPEDIA REDIRECT, and no separate sauce row exists. Both matchers land here confidently because the whole phrase 'piri piri sauce' IS an index key on the pepper row. This is the shared-index failure.","HIGH","Prego Rolls - Steak And Piri Piri Sandwiches","1 cup Piri Piri Sauce","Piri Piri Sauce","piri piri sauce","1.00","piri piri","Q512580","1","as-stored"
"39","RIGHT","pumpkin pie spice, exact","","HIGH","Pumpkin Scones","1 ½ teaspoons pumpkin pie spice","pumpkin pie spice","pumpkin pie spice","1.00","pumpkin pie spice","Q2623066","1","as-stored"
"40","RIGHT","baking soda, exact","","HIGH","Pumpkin Spice Sandwich Cookies with Brown Butter-Cream Cheese Frosting","baking soda","","baking soda","1.00","baking soda","baking-soda","1","as-stored"
"41","RIGHT","chicken bone, exact","","HIGH","Quick & Easy Hainanese Chicken Rice (Khao Mun Gai)","2 lb chicken bones","chicken bones","chicken bones","1.00","chicken bone","en:chicken-bone","1","as-stored"
"42","RIGHT","granulated sugar, exact","⚠ the ROW claims 'sand'. Hygiene.","HIGH","Raspberry Chocolate Chunk Cookies","½ cup (100 grams) granulated sugar","granulated sugar","granulated sugar","1.00","granulated sugar","Q4409456","1","as-stored"
"43","RIGHT","carrot, exact","","HIGH","Red Wine Braised Short Ribs","2 Carrots","Carrots","carrots","1.00","carrot","Q81","1","as-stored"
"44","RIGHT","baking powder, exact","","HIGH","Rhubarb Cake","2 ½ teaspoons baking powder (0.35 oz / 10g)","baking powder (0.35 oz / 10g)","baking powder","1.00","baking powder","Q29476","1","base_name"
"45","BOTH-OK-AMBIGUOUS","Allium sativum and garlic clove are both garlic","","HIGH","Salsa Verde","4 garlic cloves","garlic cloves","garlic cloves","1.00","Allium sativum | garlic clove","Q23400 | Q28966859","2","as-stored"
"46","RIGHT","all-purpose flour, exact","","HIGH","Sarma Hot Honey Cornbread","40g (1/3 cup) all-purpose flour","all-purpose flour","all purpose flour","1.00","all-purpose flour","Q95388739","1","as-stored"
"47","RIGHT","glutinous rice flour, exact and specific","","HIGH","Sarma Hot Honey Cornbread","48g (1/3 cup) glutinous rice flour","glutinous rice flour","glutinous rice flour","1.00","glutinous rice flour","Q18235491","1","as-stored"
"48","RIGHT","baking powder, exact","","HIGH","Sarma Hot Honey Cornbread","1 tablespoon baking powder","baking powder","baking powder","1.00","baking powder","Q29476","1","as-stored"
"49","BOTH-OK-AMBIGUOUS","Welsh onion and scallion are the same plant under two naming traditions","LOW. Allium fistulosum is what US scallions usually are, but the two rows are kept apart by Wikidata and I am judging them equivalent for cooking, not for botany.","HIGH","Smashed Cucumber Salad","1/4 cup green onions, sliced","green onions, sliced","green onions","1.00","Welsh onion | scallion","Q27938 | Q774278","2","normalize"
"50","RIGHT","cumin, and 'ground' is a form word","","MEDIUM","Southwest Tofu Scramble","1/2 tsp ground cumin","ground cumin","cumin","0.50","cumin","en:cumin","1","strip-leading"
"51","RIGHT","Shaoxing wine, exact","","HIGH","Spicy Crispy Pork Noodles","2 tablespoons Shaoxing wine","Shaoxing wine","shaoxing wine","1.00","Shaoxing wine","en:Shaoxing wine:noun#0","1","as-stored"
"52","RIGHT","light soy sauce, exact and specific","","HIGH","Stir-Fried Green Beans with Pork","1 tablespoon light soy sauce","light soy sauce","light soy sauce","1.00","light soy sauce","Q8529545","1","as-stored"
"53","RIGHT","sugar, exact","","HIGH","Tahini Brioche Loaves and Dinner Rolls","sugar","","sugar","1.00","sugar","sugar","1","as-stored"
"54","BOTH-OK-AMBIGUOUS","Coriandrum sativum and cilantro are the same herb","the coriander SEED row correctly stayed out.","HIGH","Taiwanese Beef Noodle Soup","Cilantro (finely chopped)","Cilantro (finely chopped)","cilantro","1.00","Coriandrum sativum | cilantro","Q41611 | Q65523167","2","base_name"
"55","RIGHT","honey, the first of three alternatives the line offers","LOW. molasses and barley malt syrup are equally named and get no row. Defensible, not certain.","HIGH","The Best New York-Style Bagel","2 teaspoons honey, molasses, or barley malt syrup","honey, molasses, or barley malt syrup","honey","1.00","honey","Q10987","1","normalize"
"56","RIGHT","kosher salt, exact","","HIGH","Vietnamese Coffee Bundt Cake","½ teaspoon kosher salt","kosher salt","kosher salt","1.00","kosher salt","Q4116639","1","as-stored"
"57","RIGHT","extra virgin olive oil, exact and specific","","HIGH","Warm Buttered Hummus","3 tablespoons extra-virgin olive oil","extra-virgin olive oil","extra virgin olive oil","1.00","extra virgin olive oil","Q14789810","1","as-stored"
"58","RIGHT","olive oil, exact","⚠ the ROW claims 'extra virgin', which collides with the EVOO row.","HIGH","Warm Squash & Chickpea Salad with Tahini","2 tablespoons olive oil","olive oil","olive oil","1.00","olive oil","Q93165","1","as-stored"
"59","RIGHT","authored 'pasta' row, exact","","HIGH","Weekday Meat Sauce","1 lb pasta","pasta","pasta","1.00","pasta","pasta","1","as-stored"
"60","BOTH-OK-AMBIGUOUS","Allium sativum and garlic clove are both garlic","","HIGH","White Bean-Stuffed Poblanos","2 garlic cloves, minced","garlic cloves, minced","garlic cloves","1.00","Allium sativum | garlic clove","Q23400 | Q28966859","2","normalize"
