keep,word,proposed,why_excluded,blanks_resolved,est_corpus_recipes,in_n_recipes,pct_of_corpus,sample_1,sample_2,sample_3
,flounder,not proposed,"below the line, add it if you want it",158,588,812,0.0%,flounder,stuffed flounder,flounder fillet
,sole,not proposed,"below the line, add it if you want it",157,584,94,0.0%,sole,of sole,sole meuniere
,pomegranate,not proposed,"below the line, add it if you want it",156,580,729,0.0%,pomegranate salad,pomegranate margarita,pomegranate punch
,miso,not proposed,"below the line, add it if you want it",153,569,1623,0.1%,miso soup,miso sauce,miso dressing
,chipotle,not proposed,"below the line, add it if you want it",151,562,1363,0.1%,chipotle chili,chipotle salsa,chipotle sauce
,water,not proposed,"below the line, add it if you want it",145,539,397576,17.8%,water chestnut,water cornbread,infused water
,rosemary,not proposed,"below the line, add it if you want it",143,532,25870,1.2%,rosemary focaccia,rosemary breadstick,rosemary sauce
,parsnip,not proposed,"below the line, add it if you want it",141,524,3283,0.1%,parsnip soup,parsnip,parsnip puree
,masala,not proposed,"below the line, add it if you want it",141,524,309,0.0%,garam masala,chana masala,masala chai
,salt,not proposed,"below the line, add it if you want it",140,521,960395,43.0%,seasoned salt,salt substitute,bath salt
,breast,not proposed,"below the line, add it if you want it",137,509,174,0.0%,duck breast,breast salad,breast
,fillet,not proposed,"below the line, add it if you want it",125,465,847,0.0%,flounder fillet,bass fillet,fillet
,pepperoni,not proposed,"below the line, add it if you want it",124,461,6536,0.3%,pepperoni pizza,pepperoni roll,pepperoni dip
,endive,not proposed,"below the line, add it if you want it",124,461,1457,0.1%,endive salad,endive,belgian endive
,mincemeat,not proposed,"below the line, add it if you want it",122,454,512,0.0%,mincemeat,mincemeat cookie,mincemeat pie
,farro,not proposed,"below the line, add it if you want it",122,454,329,0.0%,farro salad,farro,farro risotto
,vodka,not proposed,"below the line, add it if you want it",121,450,7612,0.3%,vodka sauce,vodka slush,vodka martini
,plantain,not proposed,"below the line, add it if you want it",120,446,1091,0.0%,plantain,plantain chips,green plantain
,cilantro,not proposed,"below the line, add it if you want it",115,428,70914,3.2%,cilantro pesto,cilantro salsa,cilantro hummus
,portobello,not proposed,"below the line, add it if you want it",115,428,77,0.0%,portobello burger,portobello pizza,portobello
,edamame,not proposed,"below the line, add it if you want it",111,413,897,0.0%,edamame,edamame salad,edamame hummus
,soba,not proposed,"below the line, add it if you want it",107,398,3,0.0%,soba noodles,soba,soba salad
,papaya,not proposed,"below the line, add it if you want it",105,390,1523,0.1%,papaya salad,papaya,papaya smoothie
,prosciutto,not proposed,"below the line, add it if you want it",102,379,332,0.0%,prosciutto salad,prosciutto pizza,prosciutto panini
,bulgur,not proposed,"below the line, add it if you want it",102,379,627,0.0%,bulgur salad,bulgur pilaf,bulgur
,rye,not proposed,"below the line, add it if you want it",101,376,244,0.0%,rye,rye appetizer,rye pizza
,whiskey,not proposed,"below the line, add it if you want it",100,372,1645,0.1%,whiskey sour,whiskey cake,whiskey pie
,paneer,not proposed,"below the line, add it if you want it",99,368,192,0.0%,paneer,saag paneer,palak paneer
,tomatillo,not proposed,"below the line, add it if you want it",96,357,450,0.0%,tomatillo salsa,tomatillo guacamole,tomatillo sauce
,mackerel,not proposed,"below the line, add it if you want it",95,353,322,0.0%,mackerel,spanish mackerel,mackerel simmered
,kimchi,not proposed,"below the line, add it if you want it",94,350,10,0.0%,kimchi,cucumber kimchi,kimchi jjigae
,brandy,not proposed,"below the line, add it if you want it",92,342,8353,0.4%,brandy slush,brandy ball,brandy alexander
,cantaloupe,not proposed,"below the line, add it if you want it",92,342,2375,0.1%,cantaloupe soup,cantaloupe salad,cantaloupe
,haddock,not proposed,"below the line, add it if you want it",91,338,838,0.0%,haddock,smoked haddock,stuffed haddock
,espresso,not proposed,"below the line, add it if you want it",91,338,3377,0.2%,espresso martini,espresso brownie,espresso cookie
,oats,not proposed,"below the line, add it if you want it",90,335,20591,0.9%,overnight oats,cut oats,oats
,deer,not proposed,"below the line, add it if you want it",89,331,150,0.0%,deer jerky,deer chili,deer meat
,poblano,not proposed,"below the line, add it if you want it",89,331,150,0.0%,poblano pepper,mole poblano,stuffed poblano
,udon,not proposed,"below the line, add it if you want it",89,331,44,0.0%,udon noodles,udon,udon soup
,eye,not proposed,"below the line, add it if you want it",88,327,19,0.0%,eye salad,rib eye,eye roast
,grain,not proposed,"below the line, add it if you want it",87,324,907,0.0%,grain salad,grain pancake,grain muffin
,brioche,not proposed,"below the line, add it if you want it",87,324,86,0.0%,brioche,brioche toast,brioche loaf
,rock,not proposed,"below the line, add it if you want it",86,320,41,0.0%,rock candy,rock cookie,rock cake
,parsley,not proposed,"below the line, add it if you want it",86,320,131369,5.9%,parsley pesto,parsley salad,parsley sauce
,tahini,not proposed,"below the line, add it if you want it",85,316,3550,0.2%,tahini sauce,tahini,tahini dressing
,nectarine,not proposed,"below the line, add it if you want it",81,301,1318,0.1%,nectarine,nectarine salad,nectarine tart
,octopus,not proposed,"below the line, add it if you want it",81,301,322,0.0%,octopus,octopus salad,baby octopus
,streusel,not proposed,"below the line, add it if you want it",80,297,603,0.0%,streusel muffin,streusel cake,streusel topping
,lavender,not proposed,"below the line, add it if you want it",79,294,556,0.0%,lavender lemonade,lavender cookie,lavender shortbread
,pheasant,not proposed,"below the line, add it if you want it",78,290,148,0.0%,pheasant,roast pheasant,pheasant stew
,grasshopper,not proposed,"below the line, add it if you want it",77,286,24,0.0%,grasshopper pie,grasshopper,grasshopper parfait
,salami,not proposed,"below the line, add it if you want it",77,286,1897,0.1%,salami,salami sandwich,deer salami
y,sprout,add,,0,0,0,0.0%,,,
y,noodle,add,,0,0,16155,0.7%,,,
y,bean,add,,0,0,40388,1.8%,,,
y,oat,add,,0,0,0,0.0%,,,
y,gelatin,add,,0,0,0,0.0%,,,
y,pistachio,add,,0,0,0,0.0%,,,
y,artichoke,add,,0,0,0,0.0%,,,
